mom,H,kb,T,alpha,epsilon,c,M,f
2.271274315941109,2.2865499668860605,1.3688245019459218,2.112124446750503,1.8429969048962669,2.4994183326865897,1.1111866428294055,2.484713271548189,2.9620263392090305
2.0089479433799857,1.4987572560614564,1.9440639022281856,2.126503499953043,2.1487663269110486,2.0983818413972872,1.4948645753907217,2.173074985167883,1.212235345939607
2.484567741903902,2.392670121189398,1.0537754934969896,2.8249990461066936,2.0373107898879814,1.6250060048100357,1.8428015136306568,1.86190641553426,2.5706538381707524
2.9003745671325505,1.3999977190737,2.9452500200276277,1.0402074121324616,2.763215533785015,2.9046854954693764,1.3397386475448452,2.611118741620784,2.635505656755432
2.0517479269957057,2.598547269082342,1.6890464903651488,1.0511406295410264,1.243733070582411,1.1548079500692106,1.1042047075108663,1.442972217044613,4.475961463347138
1.4246208117504342,2.42429178885667,1.4789309673391309,1.759969155636789,2.499064932899394,1.5568738568932812,1.8466493816027667,2.4693153728018524,1.9630558928944783
1.4651829772131135,1.2598357090758228,2.8035699436489345,1.5763198052377438,2.307645418033453,1.9027255289270644,1.894004664666976,1.280436546988386,0.5612102963382384
1.8861668517639607,1.3243268374675716,1.702732949274488,1.295806152169594,1.0599015966877172,1.8836220903923748,2.444338711017521,1.5714686590839892,1.258627035363629
2.244792610437736,2.553237407723428,1.4294799744598192,1.8159804218118,1.115051655307326,1.2437801457113506,1.6867652466881715,2.407018885864251,2.863749925328666
2.354842287740011,1.91619570302438,1.7384120083999424,2.998638672338342,1.7010872607631529,1.606893205201877,1.6912683205451862,1.5341080706414143,1.122096292920618
1.9320820391394131,1.3480245985061898,1.215505879560402,2.92953116986105,1.4677475577220405,1.4987784331951026,2.557084897243213,2.6992552700535923,0.9507724612908008
1.791626177814049,1.3379626695705005,2.276174402897822,1.0677173145655432,2.4314338262363333,1.9726237600059604,1.3066149525039583,1.8135348329968093,1.951584688765135
2.571447896251969,2.0833331037888003,1.7101912192505555,1.5729455666986611,2.8199941027748583,1.866304098419743,2.509359222866258,1.8600087274085848,2.4181424247972902
1.0235549630767566,2.2641341653051485,1.500139301275262,2.3564963636238048,2.310943890947923,2.5073618962977133,2.596054398248296,2.0427715655097294,0.7364505543744543
1.6867526348206725,2.853417331001891,1.064104692287933,1.2552948820440586,2.942246088735605,2.435950959741344,1.9292001993361687,1.7071176199987694,4.30277027234178
1.82196627618784,2.431253996619806,1.165826183346952,1.729340623307973,1.2118316418100523,2.4178529215542,2.990217677299277,1.996118213589636,2.2982486594052416
1.140249360084357,1.2492564269972708,2.042126251820489,2.0982862081787044,1.6850906794638063,2.0036889874743684,2.444481008545188,1.6801951605330787,0.3953592440996726
2.4609132564647203,2.31003752953781,2.046290109350638,1.887966925070733,2.2766258440380103,1.3893385444832185,1.7309037526969864,2.908618417773152,2.4848273177974667
2.317492716959787,2.4995443813448226,2.444169982888224,2.3464282830880867,2.4162408851169563,2.3004246323545576,2.1622900649159096,1.46866257896641,1.1433678650619026
1.9076484436535304,2.5964719743322773,1.5813802817668323,2.871015221780305,1.5609471426539017,2.13925193416086,1.4091155469611032,1.2848546302406805,1.289350531814074
1.0074093230988306,1.8032531178660176,1.804060386202968,1.583972971310913,2.2861426697374405,2.1448291798139825,1.3842794730716648,2.604748342103493,1.146499436637731
2.057122192917384,1.056669513425645,1.9737156875708928,1.0612534162234777,1.5406733974045943,2.461231771061005,2.1552747999256,1.600417145463489,1.2495647641793968
1.1802978514073346,2.518650775082222,2.08572287405167,1.2658233701943415,2.9118024715833912,1.7238342566617848,1.4758191036463766,2.1870482135815843,1.8842418244855208
2.594329258927833,1.3702169711814918,1.9479903019596176,1.5475421814686017,1.0507570134243525,1.10194624356175,1.859246640072424,1.463220414797871,1.526548605896836
2.4537095217870006,1.9250866346681976,1.9040944970595584,1.3631386888733423,2.0319035436026702,1.8174797483034788,2.0604993294976177,2.3913337008704554,2.415171748680156
2.9771758985056613,1.3617370582451307,1.4277025119377444,1.2314178779396463,2.6381532301685526,1.975536203470599,2.272650860283832,2.6752237778793875,3.4772826242229744
2.493252779171275,1.3192517596175015,1.9956450850729983,2.5725233991753083,2.456089609732426,2.6825853275222844,2.3131621216002034,1.6705713454403552,0.7795198790985327
1.1348958683328347,2.3451666515057816,2.047717069951976,2.199503205894412,1.2260864182743176,2.358262025863976,2.707792961933891,1.531246039084288,0.6182880980267078
2.1562004787770173,2.8230225219239067,1.9779147188484472,2.586642417875729,2.923579022225832,1.8569102751330928,1.2622076613703563,1.1925416749455613,1.6864454319382265
2.164317352242571,2.8261768508066734,1.536617760851268,1.6539684687347678,2.863081136308036,2.7462278650216847,2.659227720008012,2.2916893343219567,2.6944487844877942
2.559471521738809,1.2804511509742595,2.3170085516247743,2.8985256709912006,2.5560373557498206,1.302383678086137,2.437758738248674,2.2335297937024023,0.7691023442165619
2.4761480090769266,2.759403553253754,2.6539438636309924,1.415697012728138,2.965150357887051,2.143984911426537,1.5018511027438215,1.671659103114421,2.494081637987088
1.7492730546288549,1.911713948591544,1.9377901367078527,2.4556388512010336,1.627424758987343,1.2674025070381112,1.0215627465371482,2.141003123233733,1.6711751209955192
1.0286399844940666,1.7489832444151223,2.83888411057552,1.588746360095967,2.215392206401697,2.241052070708741,1.990094169824648,1.2574591682363865,0.4704666228187774
