q1,q2,epsilon,r,F
3.089657378419246,2.0116371710820933,4.145484280202637,2.90879314259368,0.0141009756201025
4.435852059707709,2.62023549314556,1.4659912940931514,3.0640964118586758,0.0672003091481105
3.156780229638356,2.637226351965151,1.3033548509356003,4.608218087695057,0.0239360878161925
1.810380742893788,2.008977184350041,3.4061861124541246,1.3717205555989058,0.0451580723001134
1.1791274538317649,3.288857114083134,4.110781352055927,2.880524607856347,0.0090474946686152
1.0743496392784726,2.974468160040197,2.8052476355050606,3.1895866245944915,0.0089105619682914
2.3908202138058403,3.12226252223108,4.98494704297676,4.531285259161422,0.0058036754158511
4.953039477398383,2.8379099879771217,4.466524870220695,4.747570880793212,0.0111108649927663
2.444310569462684,4.287819515252579,1.209636701099869,2.269927523730596,0.1338147790666367
4.541821578424837,3.548401998017959,4.741672483497801,3.8303378742737815,0.0184351764059129
1.0261262059391334,1.439511318893869,2.317515478683518,2.523765600283416,0.0079631578143723
2.035195289925853,4.445339482817503,2.0854066464589227,4.843958330704101,0.0147132836395584
4.73872616797226,3.658386866991677,4.263888079500571,1.6548674188792378,0.1181433199237521
2.7107399889809827,1.4529224013474011,3.184984404230627,3.3010339180023385,0.0090305278194268
1.4146624791743547,1.6184152141386643,1.6679764935268522,4.783809602954724,0.0047730416591874
2.5899379550193067,1.818535316809744,4.296911889162172,2.869609797269987,0.0105925151713193
2.133993889509957,1.995434800917036,2.8457502562649104,3.5080685914621643,0.0096758229599531
3.947050755950938,3.070735494251003,4.30214373028759,1.5624626457402608,0.0918334824718691
1.7465854619655763,2.239541989616914,2.6632020417924056,1.8619394607850677,0.0337135091090833
2.265378426299014,3.3251603570085706,1.6107157958805651,4.027738217631509,0.0229404588838304
2.083903557215672,4.03446174067826,1.8135585720594856,4.2410176954303465,0.0205107526759297
4.580689186524762,2.4021631989446868,3.4507744631144432,3.2905594031886314,0.0234351330608594
2.9408252029457698,2.72974469973767,3.18872524258965,1.7797522818785103,0.0632477619486052
4.415016574358196,1.2900294196989337,1.2392413703546628,4.839139141504404,0.0156181635454697
1.3529941871278726,1.5431773674799991,1.745549403204005,1.737181305240774,0.0315412915637829
3.5466354257806123,2.4025935123047373,4.850644713760016,2.131586313458944,0.030766753484719
3.928604845880188,3.746983315000031,3.610810333833532,1.054943261409027,0.2915059084495833
2.217293332050067,2.138545367573044,1.4361303956171725,2.344699922838328,0.0477928954670796
4.832794402623291,3.787413195835585,2.077394759214683,3.9804521835204665,0.0442534658640722
3.491389608320348,4.283998576663286,4.929420555113358,3.611321069736288,0.0185144021870494
3.5712244380270453,4.514524552858672,2.8420192761944456,4.827363487255438,0.0193719026733059
1.5720785796394283,2.832156029748212,4.075973863226309,3.763576889218879,0.0061368934867899
2.352445417739692,3.840561964010263,3.5431491029758684,2.361724366041628,0.0363794910316752
4.6073626002017525,4.240506236413099,2.136177163931264,1.9626049924369064,0.1889544691377485
2.0476751103094157,2.434110396018045,4.6032689009066425,3.319097741605752,0.0078214095980318
2.17793683116583,3.069130040183124,4.208122112213097,3.934810421492695,0.0081642208755514
4.778135055520341,4.625774904390109,4.435769780610444,3.888912554963152,0.026218491411737
2.917013828298986,1.3940697270897298,4.56298418748299,3.112951051978324,0.0073184577966286
2.0655993009494487,2.640367067525215,4.648501210592823,2.0453474122141264,0.02231790381493
4.102191014302169,1.6390082329014437,4.909727482177429,2.8544458245508983,0.0133747647972939
4.498913805822646,1.531799528790473,3.496452576493155,1.2919307875398345,0.0939709467427828
3.770118117314469,3.394499533516216,2.557900959611304,2.3899747199682144,0.0697028453487387
3.0576230811689125,1.8237477803746465,2.885534270724792,3.8062254827627497,0.0106150879949208
3.8209523027263104,2.210975007303245,4.22424855533648,1.564974360380293,0.0649802934210111
4.969690986387008,3.024427069087804,2.1768388399967256,4.546127021894782,0.0265860139263573
2.80804912844692,3.396986754691947,3.5798268331070604,4.835037367384968,0.0090704117550966
1.7481836965959174,1.041965322606818,3.0670349773604064,2.9363769704607976,0.0054813573947753
1.2280708057255536,3.69744808668859,1.7519267729983894,4.169914684085541,0.0118616564071019
2.7726035852658293,2.716343551090047,2.5231055521758083,3.5075215472928227,0.0193075202326432
2.5847749254878067,1.6490436350733044,3.21895550887314,3.5616421373845637,0.0083067182456695
4.322301071719128,2.6228181620921656,3.413361360028252,4.225810109371897,0.0148003201395721
4.917721365108504,1.4022156984848082,1.3621789808823634,3.4485136907767187,0.0338743363570099
4.583342457123895,2.3563331876624463,3.041981227621006,2.8080131486887403,0.0358306214144648
3.671248458073274,4.655510920082305,4.088968890400217,4.594127380732681,0.0157598250149785
1.6564251573604474,2.238497139423464,3.2120941450274274,2.892165042083433,0.0109820669477719
4.422775007161468,4.478323948563029,3.6875813479847497,1.18474653316005,0.3045145061935397
2.192894703493294,4.996997456381882,4.231032592035669,1.2811951533135124,0.125556759380298
4.867642683359874,1.902580132858048,1.129271720977314,4.252743051658326,0.0360840307294977
3.2807808148788267,2.3098066685670164,4.4350712002395145,2.184445098733047,0.0284944395164984
2.5767120937973726,3.3989070084906023,3.2236784813735606,3.6005223353345346,0.0166767944400656
4.846313812619568,3.222643131530728,2.4993636879744088,2.6162830385130107,0.0726465470296723
4.508989210234638,1.4605341486767318,4.293652608975547,2.0458499877976206,0.0291612792936416
1.6787953829025015,4.398807871662856,4.343418977822601,4.430433685464292,0.0068928478186874
4.514391118000616,1.9678068940411368,1.1526045084532988,1.8254603762389776,0.1840545938225479
2.7619909290040865,4.0618643333557385,2.9089212878396866,3.148635144844194,0.0309571627545769
4.025845117675579,4.330879609435725,2.7109750715157097,3.6159374064753353,0.0391431685436396
1.939404976242672,2.107386475128065,3.1355630368276253,2.2841842670653443,0.019880395597814
3.802413735517351,3.641553561537137,1.0363787839646994,2.970579537377896,0.1204856497763829
4.252616892234341,1.867655024481051,3.2490785043876307,2.8747843580432946,0.0235381488689227
2.8866534811834685,3.1424306351503555,1.6717858019997576,1.7999918026586967,0.1332688967240041
3.294904559073707,4.333777330976222,3.966650172672073,2.787074511487804,0.0368789467109859
4.120461036735117,2.383457607597245,4.89141714353143,2.121324242406728,0.0355054129532486
1.699575618474487,1.867297395027518,2.357809669993452,4.461655674212218,0.0053807556875303
3.81244265621829,1.1460632419944303,4.776814552502477,1.5281094149818495,0.0311712885441842
1.4363893455781347,2.8406027829873657,4.643431670100642,4.437602018487727,0.0035508886954256
2.8559761253625298,2.782886489355483,3.3755944136492224,3.963312394992618,0.011928156552336
2.09311146027751,4.337245760199752,3.751185253258285,3.836373772769993,0.0130853753180184
4.688398121610989,1.7142859603591591,3.0520676435985767,1.0867440704415534,0.1774390380563859
2.95462127863168,3.0159505946025376,2.8241738143154063,4.9326811467351535,0.0103195003914521
1.1139054687153105,3.0841406554431496,4.724138708272184,3.1385415067545037,0.0058748158060149
4.473933919604953,3.799936713350528,1.1100774792934789,4.181397171645562,0.069704357845804
4.6404357798436,4.10480290029985,1.427335725835062,1.217167736597097,0.7168267621345155
3.1322630900879,4.091484812547627,1.7135788528974665,3.899373746416773,0.0391413221578276
2.2986199948809567,3.219274895435576,4.242319546882474,2.44552391473243,0.0232096276252589
3.286258777153947,4.973938017609547,3.017405887187581,1.156865799960133,0.3221013655422434
4.648576076287892,3.004983147059097,3.502449896578856,3.320023639057963,0.0287937239200636
2.988942599733474,4.823922501561867,4.827300518958488,4.047937428861861,0.0145056139522177
2.831805703913683,2.7490844159791306,4.730113428460569,2.0216993912548054,0.032043278775614
3.197865847249361,1.4431251067987034,4.944967256296357,2.53459518979894,0.0115604230263599
3.511602397635341,4.685750682786527,4.66929080189427,2.050720600649219,0.0666823258094145
2.2372263589953665,2.662568804570063,1.7260652201404434,4.3383491596387245,0.0145913238678262
2.1294052380780477,4.517527814453374,4.397920757380337,1.1472586602944488,0.1322449814005677
1.6933662839721424,2.134289388713495,4.956489097417153,1.2256098607331531,0.0386291988731135
4.4574403065062285,3.846291112671103,3.53015912578304,3.095561272628544,0.0403315331703517
3.873318408485636,4.360924960077216,4.010166447800133,4.003141160227589,0.0209164386599633
2.123512721321247,4.234845991776992,2.362021571274892,4.22570407903714,0.0169668258895406
4.787445234234244,2.752094357719681,1.0911938918787962,3.637132648451148,0.0726335160250783
4.934679144754391,2.0597657285728737,2.7738051995160475,4.28502862770455,0.0158812056779193
2.336496425903108,3.076942158865648,1.6793985547790218,2.6065915791626555,0.0501389042405187
1.133843312278291,1.8347209902658477,3.746944978357007,4.435256352017014,0.0022459414972664
2.0884343527198728,4.60326590646451,1.2210306739910362,2.48966492618372,0.1010807953382792
4.15775684801559,2.796733071373014,3.176412630742478,3.821677154288815,0.019945977962948
3.492338817096943,2.1173142519001598,1.956549872238456,1.8915835209299607,0.0840523502684854
3.061190110503635,4.07233682412337,3.246337671188499,3.4465034614023264,0.0257260434971422
1.1440929285107069,3.727037557871007,3.05603453555062,1.7826830571380117,0.0349388555225797
