mom,B,chi,E_n
1.2875774183278188,1.0819912768519702,3.908922013234509,6.838852601765194
2.414231287638944,1.8023669983079689,4.195520968955563,22.607430409705643
2.6435687417236733,4.432394547536472,2.966263185860817,46.47405299653175
3.21184615510443,1.0117988974844474,1.5749230323005308,8.367836551261345
2.8038573990715707,2.042906776996998,3.8169749638087818,27.591725475036142
3.529539768931251,1.0225429179698802,2.751853704487234,13.540837319842744
3.055218371441064,1.838034536168029,3.999106040745129,28.07296429641408
3.982803131981791,3.0629935304423754,2.3632806220101283,41.029670053150994
4.253013304789225,1.274749746867939,1.469509109817214,13.388511880562833
1.74113328965286,4.1680972860304415,1.0876377008062263,15.150431334693058
2.814803685586707,1.4019214814333418,4.714360521035755,22.549630927965545
4.745594943260099,3.7458291021361,1.565040690349532,45.5966446297745
2.843876048336752,4.068584729131045,2.35872121513718,38.86225397862214
4.689917352991282,4.699343875700555,1.8853212922332545,63.591137847301205
2.0094090289067585,3.652222392097908,1.5721960828714154,18.87685486313385
2.141359906494796,1.102686108867693,4.18129830866025,12.23432935152378
3.5169827654788137,3.0422103206536684,4.139484051446307,54.98940217023281
3.8671148589572266,3.14542636939389,4.353288791202951,65.11593297393094
3.8381427128306655,3.0536287868090146,3.0108522086453964,47.008243043401166
4.066883963248955,1.5832986441996812,1.6784999368832292,17.24710715433467
2.4769600543276726,2.5939410644228347,2.6054702178069835,23.16546487245637
2.7122433944102404,4.988297468522331,3.2508300980327616,57.51150744012473
2.859595890321191,2.8086624801675457,4.5935243861632,44.92517244220387
4.561294512580663,2.5060193336828127,2.0266699856652384,34.59693310350055
1.4476632831197964,3.0287865183681544,4.067519716535234,22.21936638047818
3.936302660163338,2.3961689477606294,1.3093441123837484,21.781840367255263
2.8439488664814387,1.869984098419898,4.379549050564162,28.609190453020386
3.196609701219428,4.120008835565393,1.437584290744114,32.10313188306572
2.1095506397697967,1.9961043637125044,4.651267567805618,23.796827871996125
2.577931898783696,1.9151786386159992,4.044924128985015,24.90779993609956
3.999507181328211,2.4609326510672456,3.128594451591686,40.63576442298356
4.185754094334475,1.4169767508383653,3.167266894380653,24.716544338666825
2.1722534069891686,4.256763335192774,3.2739652644307418,39.52036805089082
1.597941860185804,1.8640339045638143,2.202919853400779,9.54027410303323
3.460339564792842,1.3273339657179275,2.310304537364652,15.204315593460276
3.2735607484213967,4.785440619181642,4.856096241741257,91.7382691146635
1.2752956215162827,4.164370441191285,2.2673842162867968,17.352435172363812
1.1912382397459376,2.1560627124391325,4.5994485182646105,14.381535944889247
3.4484911847460653,3.2242882611666754,3.1897970312704325,46.586058420515215
3.710921018625194,3.757600574644538,1.7074611469991403,37.75326859024622
3.607566981677908,1.917201359870353,1.0618023308213362,14.26031628472792
3.8218373662360734,1.984494185066493,1.864794496915485,21.727787574227357
2.159789463096954,3.7354027233430553,4.66864374130216,45.73282325200093
3.1099321263243467,2.856306613324052,3.588185498714001,40.75648335107005
4.725491772590979,1.611605461203916,3.713745014406323,35.89813015498515
3.024439259501401,2.292893080700862,4.906492779370619,40.95984910157292
2.844818670673415,1.589184382712706,1.4564641177330695,11.105530335048936
3.470956763687403,2.803534241406411,2.682597706819671,35.83515993091791
1.5146918277883854,3.474111522599037,2.931631548357954,20.68906429254093
4.332528620952276,2.487298358583947,4.5843536086968015,60.17862136260442
4.732434610715635,2.5997362662336583,3.448340188580178,54.72829359269094
4.035198608246475,1.416958025173677,4.885826730699417,33.65343299981709
3.0414466719404234,1.2671736451892557,2.779640339491554,14.566889082851636
3.34276925919033,2.34266303717422,4.520004297604882,43.22705421336345
2.3694436544145763,2.208411499880357,2.1036256315683195,16.240362371945942
