m1,m2,r1,r2,r
2.9781233496607835,4.228806467605347,1.0441071520066592,2.250638919871535,1.7520631711002042
1.7044309573043717,3.421859135315944,4.91375645829074,2.8239980406550105,3.5188180519987475
4.528376634649433,4.976288140043588,1.3326140386307923,4.555498944109088,3.01999642528368
4.46388446361069,3.2572360802796108,4.347615976012154,4.412149433606995,4.374840095266379
2.200256665325381,2.030470461786744,1.7855007168297017,3.635019244432443,2.6731478342149564
3.582915952062257,1.6178225576580396,2.202697419906676,3.4940590142455044,2.604408429508457
4.90707719543907,4.909885490696711,2.9434615176723224,2.706280726453274,2.824837197430889
3.815125803588029,2.6568600729888048,1.9767863563612056,1.0922285076150944,1.613660342893226
3.844101990066077,1.403447356969362,4.654803445380432,2.4163968533814857,4.0561457467847095
1.289950915957292,3.639839434197609,2.4461960558197897,4.419016082066408,3.9027992007956342
1.6518144122898764,1.6575264690645897,2.587028501627024,3.955168443097016,3.272279204915965
2.2273488009221807,1.1072801744967506,2.9278978902294286,4.90758969434435,3.585264422598976
3.556084393896442,4.033080363735327,3.447503582296155,1.1576697984195792,2.2306261043518987
2.44854299309326,1.0545007574012877,2.530870598147608,2.621316378030871,2.5580969618997558
3.518756632103567,3.606082172483497,2.5375761282316747,2.541201087045146,2.5394108222804475
4.93747367764079,4.718097255116403,3.206289538463619,2.8788241958241745,3.046276904823142
2.2225098198603184,1.4898860169580384,2.7785338730805744,4.774347084974666,3.579508318577618
3.103721802346709,4.614908445293028,3.787901013005652,2.8671741796951222,3.237405665705918
1.642600136513917,3.745758028145596,4.229046967794619,1.2550606540679825,2.161657835554076
2.774551831455939,1.542529931541163,2.9088969094533925,3.855152316743239,3.2470019926459623
1.4023167847653175,1.3649211562646997,1.2856636097044998,1.4803934560657352,1.3817127723419895
2.585341634620335,2.7593713012215777,3.9860739545610206,3.709628579307141,3.8433505858810095
1.855218579932305,3.812407833196622,2.2138001226820228,1.9866205365742735,2.0609846104222087
3.0083191001406697,1.8336685820394905,3.092957504028561,1.3047972338366276,2.4157783118613816
1.8330403483454825,2.3920120372226297,4.128860510408298,2.5670335736131973,3.244632696894433
4.357402347594936,3.9821725002884416,3.889427181593577,1.8022201489041407,2.892779438801984
3.305001988921741,4.602434576813669,1.590609386590594,1.5029604841237267,1.5395943280466795
3.771426103575682,2.689700106925714,1.1761044682627366,2.0167457459603875,1.526054749505436
1.2042339675456546,2.4640510288220514,1.2172419151970422,1.0066837409150615,1.0758063161418587
3.6164567485815216,1.4050238118691452,2.530219497441433,4.404434210714487,3.054629832003758
3.83211760198145,1.7662835309389502,3.4338510451984647,2.6460301106153192,3.18529523273612
2.589886008763472,2.1799495647511,4.078238863018416,3.459516132932949,3.795465101666808
3.920861760084916,2.7381978722051064,2.061905800749205,4.217431223561594,2.9482554435138755
3.986977584063901,2.081674297482204,1.594271042216417,2.541445475937957,1.9191716482152676
1.2206115466642062,4.028482626050507,2.564888828166902,2.3907090855024338,2.43121241771476
1.2130183275099728,1.8524843842019667,3.9267302956302905,4.827872989975182,4.47129114786302
3.6413916021372006,1.7446794675080604,3.794140277604536,4.738553171367311,4.100058592326348
3.5612838755020837,1.9512592559322948,1.805566510105844,1.3517594636014731,1.6449337170761515
1.008994455155516,1.899138180491867,4.912364619341147,4.276865342374262,4.4973557143934135
4.460456297360391,3.209913533285319,1.4856511276446551,2.857983885679216,2.0599480115558024
4.837567772952003,3.413433380960078,1.4940277969741476,4.646183640267829,2.798072454922776
2.215071289538869,4.049728723333629,2.696962941462089,1.2576102263197306,1.766528127654268
2.7837192474334858,2.5162835442249563,3.9293262943068727,4.260508763738512,4.086561871480193
2.4588420035424647,4.445743615514781,2.914162020287808,4.647369359864049,4.030144338331179
3.6154483562924087,3.761313926271365,2.091542096491318,1.747583992806161,1.916162389800372
3.6822989413578497,4.089393429166389,1.8837087644203727,1.1233974723892688,1.4836399179558193
2.053676655463542,2.452900928995839,1.3137499827168715,4.503352810761983,3.049830099703956
1.616078684198392,2.95534886975259,2.613726267839331,4.467488710828147,3.812151634099776
2.7461619841944023,3.009174293212,4.2213738169482005,1.5904459070073456,2.845794658356325
4.847826315439243,2.253836973844072,2.523563083782728,1.92769406909454,2.334453636859372
1.8071162246248456,4.360780411143338,4.837586233575134,4.435722995467549,4.5534638754708086
1.363330983780445,1.8091440575926407,2.5852959960123427,2.9713459526999,2.805445871414643
4.294180190350492,3.8674653376013968,3.373145666174178,3.0943061366069164,3.2410151770882254
2.643675008057216,4.251410122333261,3.9241956892237098,3.1086953147939105,3.421369910998536
1.5617786506180629,3.4553035529459124,2.9913218073784287,1.174057552335349,1.739757774277393
3.07549578196317,3.052926839215954,3.225518692155,3.429307270882384,3.3270377387319146
3.662607991166855,3.281885396519322,2.670590816780038,1.0211202781559998,1.891070559435137
1.1429537708883757,4.546370117675721,3.1832141899549766,1.7525130198719037,2.039932989166984
4.709652666292756,2.3438530908102977,4.157556834266242,1.0293570455626622,3.1180679622196776
2.132955811631344,1.447053300075244,4.801661421366386,1.6635187478929847,3.5332122163329625
2.00680899062856,4.708493492376197,4.307273881627976,3.788877808797895,3.9437959085104266
3.272824956639373,4.131795672408844,4.9655349408603495,1.1676303299785555,2.8462952631511564
4.7834363311296375,2.219908316089084,4.952450085970948,1.5763677611429925,3.882305232873748
