mu_drift,q,Volt,d,v
1.1237285097242655,3.747556160485709,2.5010379383139183,2.924302433741517,3.601700060048833
3.9004378428867934,2.865972384628665,2.4856306592928874,1.4294045859483266,19.4386808219203
4.822253174375494,4.630738116073646,1.5881154235181154,3.2064723010353275,11.05999165903668
3.7643755977339786,1.14687069436062,1.7498368242584357,3.497330043579125,2.160072550309259
4.648070557052424,3.1099429191183825,3.579341283158694,3.2111764302035923,16.112542351812436
3.4645426835273074,2.355010614783216,1.843873326984716,2.284763448808117,6.584588282182788
2.6498672105573875,2.402993077851125,3.474261599990559,2.91716691852246,7.583642771666294
4.014247361521489,2.82756793088044,4.301871001165272,2.953053920549248,16.534961357070763
3.770406182706092,1.9413163597609548,2.731905655317723,1.7658671002018551,11.323798563447582
4.359318550024956,3.128683696059258,3.462127241797611,3.938906769678026,11.988023571669729
4.657878460514594,1.0363402807032358,4.354224992483935,4.141198802519558,5.075458924418194
2.5459815041001157,2.8955426213489157,3.13088891341066,3.248978915002394,7.104049389397964
2.3017623155428018,1.099830415210394,3.189430549779133,3.8945357619867584,2.0732117179138263
3.535148703077072,2.2624870573365308,2.3877364477047744,4.241465428236897,4.502609129089889
1.914206153467802,3.45694413197095,3.5998880557274555,4.785878244653527,4.977467340287482
3.10331706504124,2.691980741430683,2.296701708092336,4.527952633807127,4.237413213070394
2.5046876380871184,3.8168992319581343,4.669531398220059,1.2882337487715445,34.65316403024762
1.7285621341714197,4.264599483769846,1.1776171833141138,3.573831038063107,2.4290327087126515
4.429693087466851,4.711716779300428,3.882724647380897,2.3262006824228174,34.83711867978663
2.128739302397589,2.119945219747019,3.308696395258388,2.989239863704816,4.995089455356281
3.879942747652073,1.1509237790874085,3.705999368859269,4.7996733865264725,3.4479863372485946
3.949464100039477,1.2394202542116233,3.6664244301279982,2.320058309826045,7.735717428981466
1.1692929130918293,1.4315715212170983,4.809612225811694,3.772674620330885,2.1340130952031378
3.3073189868209654,1.5910685924443793,1.0201438831470535,3.6002202064899738,1.4910676631745137
1.17763754226328,3.963744787147663,1.021173550266079,4.312571081042243,1.1053011382756264
1.4621708850924633,4.26257102216446,4.944502722251098,4.621719529521243,6.667895636907447
4.048018864982172,4.747477347310372,2.509418407346404,3.127785596597673,15.418478975021667
4.1823397483281,1.344741993148817,4.402584171553436,4.6600579728718525,5.313425856772662
4.1039842362997,3.1721972429660816,1.2586040821353088,2.700633579245787,6.0672143705768855
1.276587295895815,4.833509905422754,3.3380331713013467,1.4406510001834154,14.297002534204442
1.8519338848361608,2.610619866055292,3.241144467921293,4.847204763346762,3.232779918250592
1.8122430597984749,4.483816371734278,4.942825390716595,2.768195064298418,14.509179132153088
3.2431240292473222,1.6330911529627494,2.326065985411983,1.586310206623721,7.766187938953434
2.8540074794601957,4.652638150309642,4.256698742426693,4.719766567485662,11.97586191671104
4.264510493882566,2.0379273633970114,1.2403248383307264,3.8242914349000334,2.818657765437199
1.6881786228655793,2.166114244435515,2.712016454144856,4.657307701721203,2.1293994761342248
1.8644696275192136,4.95935099773677,3.945363745806136,4.358653215558026,8.36979637081226
1.9785086762487385,3.7998694843521967,4.197076897291339,2.791216712855128,11.304725166027149
3.2262954764438745,1.984194496060609,3.530322791389215,1.3936723872474022,16.215938956542242
4.818923691283623,3.032023298028728,4.800531822085094,1.3892871724163889,50.4870401373271
1.5869110998985057,1.4133383021220405,2.367214275012393,4.440431487999621,1.19566942546238
3.856534354446576,1.8093701239744024,3.7836073677205655,4.655724365778075,5.6707881250070535
1.9252737484107796,4.517316683133036,3.6538138685888137,2.4951808338040857,12.73554165744754
4.508880081415562,3.851219455523633,3.09787332593106,3.1699612786733007,16.969797100909435
1.13527004858624,2.1343027235584637,4.989776765553796,1.252326380342336,9.654255451523955
2.9385325353100598,4.017921593625932,3.9571012135028463,1.0083161071585032,46.33534649593268
3.848342407083624,1.2500685068448347,4.813008606046638,4.312234440968897,5.369350997336791
1.1061299998384038,1.5640414467594272,3.376422230192463,3.4690444928825905,1.6838418907884245
3.222103550142785,4.6528489779367295,2.253958272396541,1.964466293256478,17.20123939256337
4.054929902894861,2.9347879137092403,2.86161611437846,4.438312965459724,7.672793721130962
4.079779698646617,1.500196154155636,3.829821627952654,1.9383578181076917,12.092869256032722
4.359451000529331,2.955867061443532,3.3641446682473557,4.9017002831246455,8.843916011467744
2.4529641190475413,2.5284682506766223,3.572853394414218,1.309709218292653,16.91955794327622
2.253498386645436,1.871184023705448,4.983851400859583,3.578636507329647,5.872475979965284
3.303174828224189,3.9147655562329855,2.667321941124848,2.0342304718956528,16.955578066891324
4.450340016946415,3.537027467257791,3.238027214809859,1.3631383114596782,37.391440484045845
2.997646897585975,3.336557206981015,1.475051390862479,2.4975757617522785,5.9070076108554055
4.15021243961788,2.046573238076161,4.649580983192031,2.763915068585903,14.288503361546285
4.975549189834705,2.384721400931934,1.0515173330769554,3.887660086366928,3.2092741903917905
2.058087429783858,1.5623016642781913,2.890958305569687,2.030247456439738,4.578482606197424
1.0173583859454678,4.6689500381595845,2.015159070061367,2.4641793832051184,3.8844560299457194
4.43559908089313,3.624643584737221,4.212431198257848,4.581821497531211,14.781286953989593
3.5573023335396496,1.3182290518750124,4.50169331420317,4.040451435882751,5.224655618434526
4.417334301322159,2.2606578683089458,3.0944025126371435,2.327089910062579,13.278797562292478
1.9131924406082343,2.171880807832393,4.884171162286483,3.8199630303510927,5.312835376813419
4.1459023790311065,4.506327124104828,2.00455499208795,4.173412511097833,8.973635977933986
