n,alpha,epsilon,Ef,Pol
0.796533927820066,0.5783599619424312,1.2443031509247258,1.0809577440803837,0.7320517934370842
0.8864456568974722,0.890149757607532,1.190523319167649,1.155938995835708,1.4734457741079892
0.6424244744133553,0.9527318240826288,1.8191323782772164,1.302294298903637,1.8216448809434111
0.501283272520173,0.1914153116244702,1.51496731941634,1.0598840027753784,0.1591619117530818
0.3744625697089202,0.9876551525994796,1.167467851407642,1.1616745130435495,0.5721135130579643
0.7409240011470859,0.6065211785928262,1.4176185477838783,1.5830542449718463,1.186182054366911
0.0440753247142184,0.009136830191697,1.811050099795533,1.14463505572204,0.0008349238810191
0.677594989728505,0.0776953108696565,1.0058774308003788,1.0546781713140194,0.056848493842214
0.531706839356327,0.9615862915569708,1.924785172630875,1.3053793156013396,1.5485494151498076
0.1622602030948193,0.0748018011692625,1.7353807640944692,1.067977588790972,0.0225861191697595
0.0543515273332164,0.8356902906893462,1.8781192579567565,1.633024914130938,0.141448628237083
0.2548895404514536,0.2125923046155621,1.3716466635867923,1.478298198651066,0.1118974051377753
0.5795140770353435,0.0624249657942769,1.0058197552042312,1.5413590001100723,0.0567695082934407
0.7020041507555727,0.4925996897847038,1.2222910536333444,1.5656515182376056,0.7479840036562833
0.264905609962537,0.4425019694068005,1.0375166059928078,1.11560355019728,0.1411956285110448
0.4268956768100624,0.4634178479184252,1.2860395184459144,1.789728004500413,0.4874867352696445
0.0138516804234074,0.3301289564555553,1.757938635706556,1.0152527394500468,0.0081738460734462
0.1349747925386548,0.3706409806473619,1.2935271769280772,1.572971939918946,0.1035156180427615
0.4563826276371021,0.1395399417813821,1.245660332628885,1.4433974071021258,0.1169853832808316
0.0809428698106832,0.8016767953657935,1.1643525345259516,1.102523169094987,0.0851426189046324
0.0972801359118106,0.4192061375228295,1.2716804179593568,1.2076627884994269,0.0634920769543324
0.3648990515323864,0.8732930255978706,1.2796932944678947,1.5053875168423336,0.6868421098605244
0.8452810237403224,0.7056957681984453,1.6755975086356307,1.086887100347932,1.3559757797860277
0.4441622119492884,0.4283351099017441,1.193768579868751,1.850607652963574,0.4487592317515836
0.714437173847673,0.442575017051279,1.097814040378292,1.56794531063322,0.60838773309576
0.0106343463531795,0.0619031730735416,1.045395539646395,1.6198595537204268,0.0011150055403462
0.027636171258341,0.5955027307293281,1.555018120595728,1.2482650730722709,0.0321212856503773
0.6832646645712157,0.8718037947065334,1.770850264451291,1.787150925487429,2.352222823353518
0.3354990500583571,0.2734843002814259,1.4593243843570785,1.6548403955277315,0.2285713124002733
0.9932056082588422,0.8998968626325881,1.4473138815364144,1.934470001819368,3.564303594378474
0.3613943896120049,0.7981341240850974,1.4731145564665429,1.287089156033809,0.6050686687574316
0.2248667565575836,0.1888385326344339,1.1576438860284672,1.8124200904333283,0.0903734508273699
0.6431876202576273,0.202490873323122,1.88816339770938,1.990922938554572,0.5118147231059436
0.487869878173199,0.712204973670045,1.044972667877392,1.7514344132437438,0.7192298098546317
0.8541898429112202,0.1902736845476909,1.5196169057913336,1.3666679728032385,0.3568783626174047
0.9409661842520528,0.2774982905420066,1.763182414810564,1.522583526119082,0.7678217267034504
0.7725681906055116,0.6472570355181788,1.7485656307830273,1.0249561627895836,1.0754514206760322
0.4348046015391653,0.2046389507164806,1.8887056866809535,1.4046880186253607,0.2432777321596122
0.5849110545734112,0.9972752640405668,1.2685552598941074,1.9295307321155788,1.7724238826510157
0.0675407428862815,0.3514083102195661,1.06030401284115,1.757544356552628,0.0445824701125725
0.9212359576804678,0.6329926705231071,1.9825646683478544,1.6065487571286785,2.3054717593656613
0.1490276366431765,0.222889103166774,1.1922178976674007,1.7681764221738878,0.070806365578321
0.3903422378209756,0.444399604906044,1.4614346064935544,1.870584869677428,0.5033190340254549
0.7780943101568818,0.8568416976844577,1.0403099522860209,1.87233608067784,1.6696703890858382
0.4329478438302571,0.4935725989341375,1.3705913562868757,1.673753218175818,0.5278105213927113
0.91417613529781,0.0523810857379712,1.6584033851455235,1.8923595957033312,0.1527166119749698
0.1890526814035587,0.2141752307769825,1.3192904557951486,1.607732945598874,0.0870578462758049
0.2164817283826361,0.4350091792534289,1.2915675105981803,1.92312465139652,0.2414879674361301
0.4675210396416687,0.1523742281101731,1.648301345543125,1.2926100775397693,0.1554726590197953
0.1295642249113319,0.1168481357110409,1.8858733296095556,1.403720909680576,0.0402807333966452
0.6615164626409793,0.9114173465338364,1.0672611192034982,1.6384234756686706,1.3194504467734651
0.6181034906505916,0.6962011943621337,1.1229922349834816,1.1874986729861798,0.6699598837055445
0.7585920425404697,0.9172920651148528,1.2031254415038657,1.3477459351583982,1.4690800264856665
0.4024899594550819,0.2226998170094314,1.51730453150701,1.4087307909292308,0.1974919442724851
0.3665182113089468,0.2681466579616898,1.808561345062342,1.0316237285141137,0.1895781847656413
0.4497022146379551,0.7771061569872221,1.91680321096504,1.2285497938920642,0.9314586967847106
0.4686106136970845,0.481517568227946,1.053100393568717,1.9720488187415384,0.5067232125886306
0.983820907121967,0.1184715730636927,1.0229323411916638,1.8652483578024368,0.2313786765494884
0.439042583819093,0.3198419141833193,1.9476558377196291,1.792858145114831,0.514422329567985
0.4746260074734746,0.173324922558498,1.8182722110021696,1.9080213477211585,0.2934472306566053
0.5968607552139454,0.6456323556577974,1.3315955823716723,1.1897823146853692,0.7004970213459475
0.5149216134480404,0.4457596598028362,1.0780667059089626,1.6920908323209556,0.4533975772774249
0.8801403667599301,0.634369102225912,1.5837080066904452,1.3351279596968355,1.4505307441050943
0.3025800158624796,0.0589801638900835,1.277250988542026,1.6637996719677877,0.0381517723348483
0.3529742014383008,0.1208659408368207,1.694435756722183,1.211474469502845,0.0888396110010786
0.9930970600123664,0.3550468935685587,1.4336669775019395,1.3549018855624997,0.7761301969119409
0.5505466467249299,0.805614768105309,1.5737656807063811,1.4725971738232664,1.2062181928266482
0.4478269002260602,0.5507616794934652,1.43086040065853,1.4293701706106583,0.5496358579237159
0.5174589511196269,0.2351111099241672,1.724634155647018,1.367742184897527,0.2991090094706636
0.0801316401037972,0.2484875259486613,1.4960334197326923,1.4004102629377495,0.0419949751124239
0.3736868056659085,0.4319706860906406,1.147965975552087,1.4155566639132982,0.2772290253995498
0.8462884385641057,0.6567987757669889,1.907237395985721,1.972778584791244,2.56699887481143
