c,v,omega_0,omega
4.272472754662466,1.2518308135715823,3.8554535662352176,5.453251540517691
7.096863843256084,1.7159988426117905,4.824834609213809,6.3635111239029625
7.080208364451971,1.2597715256778894,3.824159897177114,4.651858553059737
6.909000410505433,1.6578641551261215,4.5222185337991085,5.949952198327871
7.279027212472807,1.9210145922014137,4.457748027410679,6.055989691981306
6.222527989395868,1.8163207755818067,2.762278892837473,3.9009417603672287
5.954098035538901,1.4358413510055317,2.779584181494139,3.662898739529775
5.455366466952152,1.002778552181089,2.817126854990658,3.4515790978282364
7.0063127351203685,1.7633795792415965,2.1546762122894028,2.879368272947942
5.732120434316455,1.4268983423554678,1.696237207611334,2.2584284275025777
6.34978524479746,1.0091181898449904,2.4406608952699984,2.9018233828990336
4.088316576064914,1.9435663864405417,1.7040234205546905,3.2482044901819966
9.96766888778806,1.006437976802156,2.068428822259391,2.30073455566951
7.881882348583561,1.1240864037224836,1.47809861104358,1.723964358632283
3.484669358768741,1.0500715285619964,4.661185496955858,6.6716112514566746
3.2280436613436154,1.780712934181646,4.017991715804094,8.96149887936503
5.948188405350678,1.965272896229119,4.890968743362925,7.304298447601346
8.017163088732266,1.2443770727543104,3.741047896668917,4.428397861618067
8.972136519897813,1.8528699024027429,1.5074574408830568,1.899790341367692
9.545197944160256,1.4961623512777722,4.324506413326686,5.128349756894458
6.058587349198486,1.159770186395773,3.119910210232768,3.858533172839844
8.58940141880355,1.367276961487886,1.7575643835519426,2.0903026663335456
4.4728246209243645,1.2300988697699506,3.180596346900177,4.387126985553016
7.657939788355281,1.311835255646916,1.5270530380194542,1.842717868655598
8.083836013099976,1.9663976620936592,1.9318008755569385,2.5527615632442555
8.052810739188317,1.518108289256223,1.990506781176801,2.452931025811937
6.081054526609385,1.8138483466716693,4.8501493115515775,6.911787521401791
4.737885749776599,1.5581770653698226,2.3089363256212283,3.4404021248705328
7.30751967002573,1.610085685906268,1.9279329975217263,2.472763763678614
9.49147236578879,1.7773901679049868,1.7690801020510425,2.176691208461661
8.467629088621521,1.330116629415403,2.190266963138726,2.598435849313116
4.155698361924266,1.4731140127302085,1.8850637644594717,2.9202274293595094
4.61401342904482,1.9337069598030896,1.3943884555904045,2.400369932778366
6.612130029948784,1.3630951992706637,2.646060198167775,3.3332021336762714
7.815948990939215,1.7557885229193075,1.1553239021352386,1.4900517461136331
5.6017790265513145,1.54062613090873,1.0332719355292492,1.425250712274891
9.82865003335072,1.0954472386514575,1.630814437525431,1.83537526295645
5.999993489142568,1.532116547251568,1.976636567123414,2.6544613218738324
8.301107883321247,1.5008357315670529,4.719762519654789,5.761424981969856
5.236834664929642,1.296017275771978,2.957323958226365,3.9298995844050175
8.110593145414793,1.1215712475398796,1.1617796507524707,1.3482175631386215
7.513756938387507,1.2139212139119944,2.845888034110085,3.394264850286851
7.047688022194467,1.7198099398971307,4.675430580273861,6.184634030700199
6.550166886148208,1.368852768704293,2.059442853415458,2.603527614151166
8.002616868180214,1.89618034421573,4.668698680495652,6.118430391662991
4.792476798533782,1.113021587487366,2.048783643987539,2.6685331158667323
6.687839009984803,1.5106520620342303,3.2995302708417484,4.262300643537016
6.232401229310424,1.28250482095969,4.941371374172523,6.2216673817489765
7.055995325710603,1.2261556416664483,2.993949247058248,3.623648854440398
3.3286636022262117,1.8740825051710728,2.1728486424470668,4.972347161600724
8.01934689269466,1.389384847586892,2.5130835266621734,3.039729101540106
7.044907835398318,1.5097133265943987,2.6443781380393765,3.365627031678636
9.768119138390484,1.1767748916726708,3.141130444668822,3.571377834670339
8.840641402944552,1.135314295500275,1.8273711570071955,2.0966187267477188
6.501004961660465,1.0324483292219973,4.024487063408447,4.78429906205256
7.218049940786146,1.4260029070453184,1.9578788026956908,2.439908877386447
9.290009348430758,1.3887837519238508,4.013827794738848,4.719330853253978
6.90495578767858,1.0573334328383068,1.0145251446070027,1.1979657446929846
4.412093969247238,1.1868912637516815,3.4694295656091194,4.74619757606834
8.414233048830493,1.5923401327676348,3.5403887550859583,4.366772746990687
8.313922000030423,1.6588517446766375,1.0406872554981257,1.3000903576752991
3.571518386594162,1.430372150536173,1.225133505251053,2.043572160719146
9.38518738609258,1.8531547724100643,2.25549301674535,2.810426573528725
8.050666862934353,1.9132202135395675,4.56212599962648,5.984273054877949
3.0028594907052635,1.4181331619710391,2.86334766369928,5.4256880517633785
8.364905141873423,1.091154586946354,4.098923445390724,4.71381380837553
6.428293370728795,1.4380293257984735,1.453877931727393,1.8728375465155551
3.656406087208475,1.4622821329690807,4.596254017141684,7.659444733813626
3.747882915454944,1.1541498085254491,1.1490055991453878,1.6602858803375444
3.017800868236577,1.24666461220772,3.248331585401894,5.534762131020605
3.67183378378836,1.5356332118454583,3.4466821582941685,5.924370659303138
8.101613060003984,1.6744667436959395,1.2347181314282296,1.5563996907337905
3.608715769282255,1.1986439325441824,2.7535384342412184,4.123004724381991
7.408376048642436,1.9811374620306264,1.3818810833190662,1.886317425769232
4.957441825190973,1.12318033732118,1.5231830117279084,1.9693730314557805
3.28763686212802,1.2335548167840056,4.857989940905132,7.775398671036036
8.483787813702307,1.4065406743047602,2.228426106123096,2.6713062113685835
5.469748693629351,1.2274081771488858,3.264876318495177,4.20948127774661
8.424737393583333,1.6669606275516942,2.5390235474536564,3.165331937412104
