n,alpha,theta
0.8997374021270528,0.9051193001090684,2.117805261636054
0.3116537481033947,0.3862725390662695,1.1254159457526138
0.3207262749321162,0.4017516966554364,1.1346350028350525
0.5476813752569674,0.5780821442788285,1.3539599682488546
0.3463907408330493,0.1387844834462303,1.0488565646638142
0.0606584874037146,0.8376109726703748,1.0516835306069965
0.3465787637394812,0.1316860927327627,1.046344653757303
0.9944534133787064,0.6989889656528164,1.904744983171743
0.0094816657670204,0.5323765047244762,1.0050563238776706
0.771212978443689,0.9364969601436476,1.9512479398671785
0.5343166257310178,0.329800695190799,1.1872148709945392
0.6962784248761953,0.9290177517185012,1.8246687154596275
0.279847146934063,0.7321844543964958,1.2199202649382108
0.7682914004897802,0.4832006970150043,1.4236660523182676
0.6614094754722978,0.9805847264878048,1.8274549777761075
0.5583419408524499,0.8790350244912368,1.5868036067065336
0.6949584214617291,0.973457719872186,1.8734878253878784
0.9879313843942488,0.8739502240131004,2.2123055437950656
0.5850603790945387,0.8652789179095746,1.6090086800470225
0.9027849664514932,0.5844417499123676,1.640224812655513
0.952117926518374,0.8194374279324046,2.054421261882001
0.4009368099851952,0.0199067343950737,1.0080026331712255
0.7536541691267044,0.4847135684997368,1.415956984871717
0.0758203918035542,0.770121035448269,1.059549936345989
0.1889312618569715,0.4023395232037704,1.0779906543718534
0.9258392206294652,0.4980647588127832,1.5448811926739894
0.7459602220362784,0.7621978564321306,1.7015243470380383
0.1221145222958579,0.608147413484592,1.0761486561130753
0.960602835489948,0.2036713603638879,1.2092967321649863
0.4241596684390749,0.4250210483427024,1.1918026415961536
0.4720013446081107,0.6081959046833749,1.3174455763136743
0.3660795647778652,0.4548579049686431,1.176299647882233
0.2680155872154178,0.9202121385933398,1.2687230236550575
0.4951587712265181,0.2109247584140352,1.1082083836029082
0.4887869356961229,0.9153138737688492,1.5258077856960082
0.1003384945294785,0.7689053764974263,1.0791872616509806
0.7146459332536885,0.6786647384245431,1.578535934818018
0.482942379918449,0.134478863561186,1.0663826276706796
0.9674126200168138,0.4263078297286299,1.4781473838215762
0.3861096157984939,0.8066983412800781,1.347559203518728
0.9263383984498704,0.4033092988217598,1.4267449930069231
0.1522777299341235,0.816716756326758,1.1297465362709858
0.9629178695361388,0.8156345809909937,2.0639193336515254
0.6385859092413286,0.4470333081001262,1.31549006758585
0.3426810499674748,0.0522713015733935,1.0180199780985024
0.2546980539548942,0.4822261252032006,1.128065129823013
0.5449459619189635,0.3713454311849765,1.217000855196288
0.9351590928533532,0.0412413123053869,1.0390694545389931
0.5256841548172095,0.0525955990535399,1.027905859699097
0.5315292477088924,0.8400940734998766,1.5246218325126393
0.8439010487719324,0.931584535552374,2.0653439290525
0.5460680767151382,0.1573237722630558,1.0884421634525303
0.4805924771480724,0.6215987702765826,1.3317731908015429
0.7687652183720121,0.663833204102874,1.6149396463271954
0.397081022679881,0.5725507013084151,1.2459909517878678
0.4499569940926091,0.6735202656584298,1.337109401403933
0.3811632174347348,0.5463149375254939,1.223767227402803
0.4618942817805244,0.6829183769550033,1.3524998147116478
0.5070923219917304,0.5578006500912327,1.312301966292554
0.7799612333268274,0.4546840383941618,1.4021782027943357
0.4357683724842229,0.354489599656218,1.1628613790697548
0.4844011782908515,0.3686421555759198,1.189872587821749
