mom,B,h,omega
3.936654212834971,4.329840611431842,1.3321830841536166,160.78485110542908
4.416726078260325,4.928573463027568,4.237140396019737,64.55928463549587
4.172466396927419,4.539655803055133,4.757855220986764,50.02814674945032
2.927809385763929,2.1445860296047847,2.501880574491276,31.537666776011196
4.198802905474287,3.2445464192736595,3.303011111712964,51.82977342232952
2.4469248555689163,2.1767158869382297,3.1674157508866685,21.13134650360231
4.262212454863777,1.830218523570696,2.3895237914582133,41.023862265958336
3.0342043530826928,1.4157081564732263,1.9950150079044,27.05716301598511
2.1918547591995265,4.204222058906688,4.970534892844284,23.297222983726567
4.444565736953203,2.521433448895013,1.731359641953761,81.33911034027645
1.247069288310681,3.7490633767732695,2.0723880306520424,28.349940697510725
2.77550274025211,1.6221294215975757,3.0708306418610327,18.423882720416884
2.772944662132316,3.745859708578393,4.125252913148362,31.641130729054616
3.007257333168761,1.950094605667589,2.364731120450646,31.164084319703896
2.598374441591133,2.846063700602846,4.65943437305892,19.94449373570487
4.729802011720464,3.880343022833444,4.463736929403838,51.66832148740578
2.2982856088091133,3.2464890877253514,2.3357733897733843,40.14182401839905
3.131649335932363,2.6094750974810603,3.809792609945621,26.95471920258349
4.935638585320165,3.510258460963492,4.873923253370807,44.66976042613464
3.4813991524656105,3.01014985376022,3.726827068372832,35.33560720910498
4.442917037897972,3.9993725485055087,4.104802127716349,54.397344871161216
3.774366723061725,4.502573926783728,4.8399403878338525,44.1239920976788
1.949682934577289,4.884334477965681,4.674135993219772,25.602236619834954
3.862073595122781,3.483009278425328,3.337259942591591,50.65181420363296
4.3470867501024095,4.993409984448002,2.2186662669543225,122.94572039787914
3.788657629015705,1.7474586349374226,1.883931998098765,44.16079738386156
1.918335060106204,3.805738459050257,2.2595627226616117,40.602134537892645
2.700004220211909,3.7267784031818336,3.160199965436268,40.01228127225986
3.345638796166423,1.723641254276456,2.832674610741644,25.58227161941744
2.348395777199635,2.700136474308262,1.2246415881154058,65.06656297786611
1.7585920002051765,3.226253673039341,2.4064724184776933,29.627334500808185
4.601381558273756,3.514968838193013,2.959771515503409,68.66910775522265
1.517400849672812,3.2246465343828365,4.931109534775704,12.46946022472113
3.3393937906844013,3.8706261343178094,4.2448594172301615,38.26444444373461
3.031959365803276,2.4850121584767177,4.320738078019276,21.91309988174765
3.036063541863033,1.3155972380665606,2.751252501868348,18.24371265279281
1.5647773477028974,1.679857965607558,3.2043255104248227,10.308568241190905
2.3751848054065885,2.710226188262747,4.399573840808831,18.38663253763933
2.8145559972297245,4.883735526859143,1.6960811943946976,101.841609899167
2.9738751285426783,2.9690365372835545,1.515724682961055,73.2028200278753
3.4126437015585376,1.043419532126404,2.8305333140586004,15.808530572171724
3.207717768704704,2.0248962191106123,3.3232177129305294,24.5612230620406
2.8833392418305417,3.535042471952713,1.3038237637156571,98.23841581033444
3.19879512963426,4.324016958906146,4.60643097458642,37.73280671134693
2.404361864701675,3.718504870242856,4.167403458886936,26.959541498025864
1.8632630191431343,4.194822310898277,1.3843696292632286,70.94887846046574
1.970888861710295,1.180760122657051,1.4367675378887514,20.353878118343875
4.537591567424729,2.488753934825817,1.2049937844874603,117.76938821756718
3.3602763993054494,1.689357109752824,4.798176593995835,14.867231425496778
2.895827677579742,2.220373184174295,4.617814567228138,17.497341289631976
4.07806194078553,4.189052518554917,3.742336498135745,57.36363343404224
2.3452987206004736,4.327286250310723,4.132034850106814,30.86453083020264
3.475854140766644,4.037271815045106,1.7835872524150935,98.87011465925534
2.401779048792878,2.2743178366032923,3.4403352196603074,19.952315888415374
4.036240653195098,1.4545222885934137,3.0946722113603893,23.839252947911245
1.2175786678410354,4.15412134139928,1.8903291088685923,33.62394376631753
3.6051072235949233,1.2659268981702063,2.6795699470230736,21.402848611617674
