q,v,r,mom
2.29442404241781,4.500543623377747,2.8162841880878267,14.540694219938858
2.7335449218335146,2.73596535332998,3.354308969160239,12.543244172176127
4.126351338387999,4.741703167222202,1.655276995559313,16.193519569834706
2.597405136753932,1.6218779356567117,4.457875341652981,9.3897879546406
3.1939076081962736,3.1361498610197924,1.58575617739645,7.941921177491204
1.340695048349862,1.7134977495973858,1.7076024461704815,1.961418721977349
4.2111699438238,2.4933609545598734,4.9982403816074825,26.24067881009319
4.273678247612819,4.537836962656154,3.714935271136828,36.02234373096687
2.4084367831343485,2.2426616685647307,1.978759079947377,5.343944469915682
2.52870578926152,1.7363239406631252,2.8501958898024125,6.25710971313884
1.950544036173704,4.630909005490173,3.038996080094547,13.725309653120815
4.776437492647764,1.433283049667514,4.271377301394586,14.620896516627615
4.344296032956906,3.883159967952509,4.968821739513011,41.91100877416039
1.3959392067639351,1.4242924473400969,3.2509809566858583,3.231841893983741
1.345753777398826,3.019489288461406,4.927528138036495,10.011478478261711
2.458745289283051,3.733449642076917,2.967799528597525,13.621608829008949
1.8540392218538384,4.268543881648628,1.891177185388186,7.48343329975996
4.313529602611478,3.2871560291558657,1.4272521799083746,10.118679053791194
2.348915020174531,2.7018162322283947,4.476905224056223,14.205974029256112
2.689693691649917,4.604959708575604,2.8577466646157883,17.697926613811962
1.1329230377259891,4.9583186165422655,4.762510625435739,13.376447851340576
1.825880344832496,3.754346564298558,4.458491755104848,15.281452846729398
1.543154774780369,2.9996297886029506,3.6302237214422735,8.40195864231627
4.683628123552287,1.5509963047215236,2.1861326543476074,7.94035069398468
1.1857231663649703,3.0908139591650494,1.3103765724358172,2.401166603562493
2.160909508900477,1.275244110392025,4.786311631281768,6.594788667642237
2.809641237647936,3.0219868530666423,2.839658972738217,12.05534463255328
4.415596071866686,4.670740065123458,2.0125219584991103,20.75322855570322
4.863644422267932,1.6169459802755028,3.871344020672372,15.222609184262756
2.773361211044958,1.3339471432240746,3.4703959104393185,6.419394792837012
2.7432987456409963,4.347484358989762,2.3270243609126497,13.876567969848336
3.3025904277076723,2.6501735083767604,4.075945123014282,17.837227798460972
3.826349017464527,4.719243625521692,3.045909446656202,27.500714116069037
1.7056973394134445,3.443006572415602,4.470622979247664,13.127374474161249
1.180667791127116,4.949535630243139,3.8147528055819553,11.146244777016872
1.833153427863885,2.524085374164448,1.7365121373612356,4.017451875036905
3.1360717351677656,1.4250422731314418,4.610979090115341,10.303312994496482
4.429276525395988,1.5430214778855569,2.0741277846185087,7.0877808261518025
2.9851329745105373,4.988191982598504,2.78953556532287,20.768673023909557
3.550425558206298,3.0051089984420662,2.0408124383763537,10.887138230551592
3.37875426506524,4.249225887190373,1.1117609759468352,7.980826244868546
1.627055810917062,2.487980726237584,1.605697076245129,3.2499979186272
4.418536017020138,3.305106838002764,4.759227358806987,34.75124425400207
1.6839288634144638,4.602114858569712,1.7223569846271554,6.673818161213761
1.689552052086284,4.200855608686178,3.3593571298696148,11.921626473796271
3.3720841401067494,1.896060832686806,3.601282612909801,11.512718298759651
3.632692516429701,1.8174305771415469,4.137925585496266,13.659636750468165
4.326152124983798,1.7110103918767372,1.8810845941505423,6.961979900557493
1.4373224239333635,3.885122528432088,2.6583832464899286,7.422436944453401
3.975486819708854,2.4504514476976573,3.1374132105680306,15.281927857553962
4.0996159074503495,1.527892061154934,1.2984141374650102,4.066484149645429
2.866447067812224,1.874820443774805,2.83178386093557,7.609107392629387
3.3903061997166044,2.2404317145463817,3.8729793489226174,14.70909053825728
3.1907422992252323,3.5080287054507244,1.3038056315823856,7.296888752650533
2.162508562447921,1.442422267106144,1.3936690147637,2.173601387855503
4.981514917303368,4.13119359089203,1.778819725940795,18.30370143888474
2.4031746997503136,3.8162679539549886,3.749232737800393,17.192404022865432
4.505380257609184,3.005485968975694,2.230210621851879,15.09948172150051
2.9128199931004453,1.609912017467393,2.304873031706326,5.404217256595661
2.1687482945899403,3.833947776134017,2.6598448685923093,11.05812909381432
1.264590786835233,4.209290287811131,2.1761851975165336,5.791949238126128
1.0760431069672904,3.994410135241268,1.7405051390663808,3.740482602042625
1.9201676593742905,1.1464902489676971,2.763124988060028,3.041445584988689
4.101593033062559,2.0024943967595927,1.9994915696656124,8.211329091303165
4.85146455213325,4.995496232464939,1.4996433271718144,18.172282601759715
3.73184500670061,3.8684584468092007,4.7099708127736015,33.997717001310825
4.634904422794349,2.379522856140416,3.392197360174585,18.706036602038225
