g_,q,B,m,omega
2.3609750928334323,2.221763071421908,4.245053813944933,4.810609011372407,2.3144206385484405
1.537903159269478,3.821922170695101,4.712149338967829,4.2432182645380605,3.2636569761118133
2.6201501165110086,2.902497792446878,4.147307500384397,3.6672428349457857,4.300259311911513
1.5293649016048714,2.6343021624101444,4.843081494148396,1.2714909489979629,7.67282363348044
4.432358164795008,1.0058035265610743,4.144537651649544,2.071564473332061,4.459597265104663
1.4099332059763232,2.32080520075809,4.97598772096828,1.2228811468531822,6.657363686094259
4.666164159326557,4.607191671472862,2.885300014459289,2.517633977338177,12.318694505564713
3.958454794123672,4.7037634955572365,2.103518806080027,3.368923497287632,5.812947778675697
2.876973353415579,1.3175298932645605,3.958338698037044,3.7819701634088303,1.983632317876892
4.091176559539075,2.684347208698209,4.932602894840338,3.774378882912362,7.1760850241563405
2.763257702931743,3.475993879993287,3.996919824425308,4.558235397669156,4.21113422358822
2.041562561880208,4.961427990411622,4.133876171617011,3.266807883908092,6.408748933596428
4.49125207852409,1.3912743030134769,4.891210643156043,1.6777515575674555,9.10833331441994
4.514338546405408,3.860927799554145,1.589372346479153,4.967344986339682,2.7884132589756567
3.505927302740653,2.4501697841048165,2.3272547401084265,1.4699716127987887,6.799924115464583
1.4734875572954065,2.147435451665083,4.0817409648640055,3.185593055739248,2.0271773253498364
1.4844906938511078,4.7182951555168895,4.772119348731364,1.3523348712308705,12.3583257484765
1.6210379501837076,3.788560593014639,2.512691339663464,1.4658822312248776,5.263534653616487
2.53702339886168,1.931087494948549,4.967459995865673,2.094921555248718,5.808487265233121
1.4914319824435056,3.215376521195437,1.572108914480626,4.044111303714253,0.9321049683296524
4.8912593794590045,2.3411861956531848,1.3189165970013177,2.423576979682301,3.1159262321193117
3.8401093391679777,3.895511529304184,3.7234689178815623,4.982923697477441,5.589096195813414
1.9246020700466293,4.165260052331957,2.8521114043548748,4.221877282469553,2.7077836013597847
4.277423171982106,1.431949405028485,3.299904696824328,2.9645330015136,3.408984319115565
3.0675257980998065,1.6150229203223343,1.567756095015583,4.924166571265423,0.7886470456467726
3.5219090401404705,1.0948637520247764,2.153401875106299,3.749811163352517,1.107194466389514
1.641577386012647,1.9168532211391065,4.8825588368215005,2.846545377936613,2.698668861666361
1.585338656908307,2.1410631750386195,1.3409980765126783,4.748113551389776,0.4793233591114504
4.762259573739685,3.893571855502807,4.218113821187475,3.2291125500206905,12.110619903995117
3.1860917079128166,1.8605758533759635,4.836610753367008,1.0559464728991943,13.576095684580908
3.648054966592052,4.770033742724462,4.287575911632793,3.498360192454724,10.663508726030424
4.476791031184636,2.542480166678017,2.355014844653946,4.379279939880182,3.060450376652885
3.094347253780443,4.407993228849264,3.275446367226781,1.6243646242133345,13.752034157714466
3.363431286092113,4.559056598452553,2.7018164258078348,4.829163451557088,4.289547489749472
2.896197379963362,3.635054910499365,2.9173722535315205,3.39413416191555,4.524514449403901
3.977695612659878,4.017671863516842,3.141532637686037,4.3530370491072645,5.766671690440391
1.3715013574457575,4.082735940142967,4.119370744911389,2.375866763758862,4.854296910494497
1.8121811439488795,2.448234517455976,3.55014503387192,4.612476423046675,1.707405061865407
3.401039764488226,4.0055620938420855,4.315090132229173,1.442132246289181,20.381210113736245
3.621716600079016,2.3980119223684486,2.15173552759995,2.084306876076828,4.4829411261270415
3.678724395638576,2.8883060182319915,2.653179849611168,3.3447983056010098,4.214123098406258
3.2318007838518605,1.819107000683412,3.0162849666083997,2.784516257212125,3.184164112055069
3.2539168709234905,4.214964894275015,1.6220846315068314,4.287727426656668,2.59427947788813
1.7169084297196957,3.366105827663534,2.0355531650537486,2.091731102822798,2.8120400302844586
3.413076277204657,1.2779620239288074,4.748321832927553,3.864754482545577,2.67949027076245
4.7631397554454376,2.7448591986907496,4.348404699239949,2.305722079506608,12.328390959815628
3.3896751034858665,3.227654853930179,3.894226945279201,2.2559176228841245,9.443069501842864
1.1078890025279555,4.24768732105852,2.4180823315648863,1.4095776545363456,4.036462045280731
3.015437665265345,4.072573171093582,2.3139941916658,2.062751128684967,6.888183157983901
3.4531390591381506,2.464003221111421,1.1705221140225095,1.4689647613550716,3.389952311218908
1.5567430163200164,1.9693957304156249,1.2102196941643315,1.220611586446898,1.5198707267551894
1.0432927311052924,4.123626995254655,4.987539875776664,2.4993628579159948,4.292522983894806
2.6081258613063074,4.552523677633195,1.7232725150455876,1.497517599833036,6.831762958210958
3.3998842437356305,1.3086595871753612,2.086869923230938,1.232351581041987,3.7672251741191833
4.588683469054963,2.2514974232582734,2.764466431299203,4.772122136261892,2.992466723566098
3.8903171451741456,2.470461101263591,3.0751869512978347,1.4292385188096164,10.339507262642686
4.717150650841198,1.6234028753258296,1.8225573761052292,2.039578176123994,3.4215029172365847
1.0673153784435874,4.751397286427283,4.101557610300176,1.579171193514758,6.585726934172457
3.0255768099990856,3.6892194616147385,4.553354256352303,2.3962856775288905,10.604874329112391
4.760208755873448,2.7453785057083397,1.1247142645993664,1.8741937570734848,3.921262794004507
2.660092797484768,1.450951255252225,1.8859630312207456,2.941261516763523,1.2374257492024574
1.65984611172578,1.555235392533318,2.62044889210189,3.192653331251301,1.059394931015395
2.8291016773941684,2.855958791775823,3.140254295043795,2.40097873810988,5.283807675621032
1.9160787636105487,4.641380272101296,3.585922916210462,1.7466818412812375,9.128883361015848
3.9926812865953294,4.437806775318428,3.633298081466236,3.74064470774794,8.605133390300173
1.8831609741530024,2.184168075227501,2.5631658730934275,2.3513433198012046,2.2418377180803946
2.909708903040729,2.3129245638444207,2.5735561607203143,3.2767112920104995,2.6428741788936487
4.4314498098377,4.705247309059551,1.209981605995046,2.488111862402291,5.069990676685454
3.1807427443974468,4.985450177002602,2.4246400032427107,2.5154692908337344,7.642424839849913
4.370724364578037,1.0479373405143335,3.149602440959484,3.1782411473658203,2.269486644250515
1.587012864635449,4.164596952798245,3.749032814588865,2.8025396483841334,4.420698588726638
4.453020055265746,2.557968501935912,1.2551035088201092,2.306180142465673,3.099603647203846
1.833911577450157,4.050377756382829,2.993330005284555,2.6834701950891926,4.142874228711275
4.057746559528427,2.8047893670970674,3.410416634034449,1.7787515812274846,10.91056682475966
4.318643065375623,3.3035811658198933,4.567549539216282,4.769061470894095,6.832075280733226
1.681097477114827,2.385430657111375,1.680951610690979,4.852966752633286,0.6945085438501489
2.0996566305484343,1.1094666162879083,1.315686094901166,2.064294947973568,0.74235742398393
2.81989328880327,1.8505098126662316,3.460280420990068,1.2386350943490338,7.28889988827447
2.9639134188685903,4.180599825523725,3.377584995586125,1.3959001688014654,14.99084253519336
4.193863280918398,3.1373404767433253,2.166566182364435,3.635972920931924,3.920100897952363
2.3629914566970336,1.6634142187653276,2.1030739142567545,4.074355792082038,1.014444170690655
