I1,I2,delta,Int
1.8886643633382945,3.9433546494866487,1.9429567210581355,3.847302159272011
2.736121848293221,3.0608727879492195,4.464153509441576,4.374945088695697
1.9417062846695048,2.1623426772809142,3.20112090870473,0.0131939920652861
2.2349065161203243,3.2951456376667365,3.3034349510999887,0.1735133325814333
1.0200289662960982,2.156584366243409,2.521708265922928,0.7621819462017427
4.421440583405381,2.372933709654658,2.265015895646152,2.6497104412319903
2.201182699824544,1.42385401487752,3.700025215936425,0.6222048837572149
4.812337501190617,2.068778537996776,3.648942529110183,1.3655010266244831
1.5435504055079727,3.534648658506353,1.4096779210248442,5.827623883125844
4.773491414070397,1.5068946366270448,2.47718034645672,2.0574127126311392
1.2425998828621734,1.7813261291867768,1.6450158307802702,2.80328480620952
3.9504733994253622,2.262260891988603,3.103225135734067,0.2381708527344761
4.095058212392592,3.213085408093568,3.753656783268251,1.370410878542284
4.863935982847726,4.438040720453799,4.810454346216019,10.21176197810082
3.4718372576331165,4.816867200589754,2.7189731268760946,0.8294527170096639
4.986710233850976,3.535489622451004,2.141274543333453,3.987135755650777
3.9965045241354074,3.879787724819431,2.456746952217535,1.776642532925946
2.783959082762136,3.975299624265956,2.874150811861244,0.3423463394019803
1.270624754772907,2.1712500816663067,4.578941602189365,2.9998834003454133
4.260935897284538,3.880153725644146,3.070939206481575,0.0291991247984171
3.996194285601758,4.7350953552603965,4.737463860779524,8.949417439416324
2.348925384251564,1.2609691643958234,2.70274282992488,0.4940122719507367
1.0414439303452916,3.1828826515450825,1.7622641063960307,3.531384121534259
1.1545612195063502,2.5764344474423835,3.133627451838036,0.2816696014537583
4.507959284847354,4.846940645867807,1.4876902064279305,10.130944767972258
4.326712872939825,1.7200765748582336,1.756170894412664,5.04114863550219
1.399626580739506,3.901546236631296,4.305414908935383,3.4511982115842903
2.5212564267877284,2.1225573956301518,3.6473342932776,0.5963343278637279
2.547954502713917,1.3691246756288655,3.825534272660761,1.0217465360940523
2.5598458143880007,3.8049775655214138,2.506067565057634,1.3416358308760028
1.197640486931165,1.787265370493075,2.1901187587655007,1.2863584141056663
2.4042731473304197,2.1088924596313343,2.183850702950336,1.9220007530987449
3.3811324050528846,1.5346272195031596,2.680663394724202,0.8354247714561698
1.8326779241246407,3.0397657447769006,3.540461898134572,0.5224480708982489
3.691764389462623,4.906359652782851,4.635410914061623,7.943541112094056
1.3097237548603888,3.383498886945875,4.435755314620259,3.543337267875984
3.4852611343134186,4.111814461277124,4.022885328118472,2.7806275764704864
2.9403646613648484,3.337764515469171,2.4461013642062115,1.467830542845725
2.825564628872892,1.6390197131521913,4.594694582338628,3.959193466947697
4.354830974901633,3.427404092592582,1.0156301797174048,11.854898761103748
1.4101576400317892,4.872823745534404,1.8295238253944317,4.941635940879681
1.910639584817715,3.188344721915308,1.8417683804599947,3.7776925969837247
3.929957128603185,2.915578714361827,2.338321049480712,2.144770956259224
3.774812043920393,1.799480136518715,3.572930257021359,0.8391631310528105
2.2592246387424284,4.113699127669753,4.536736933996849,5.3074478997222805
1.656345955598614,1.549712361446177,2.573699405190802,0.5047311972665138
4.895673915650736,1.9109326169424812,4.903118362809863,7.966292015534406
3.690408309225292,1.1900203088199677,4.058362775619655,2.3305230637508383
2.466752269291956,1.7579259453183256,3.751913584369109,0.8117826633276803
2.4534441210665063,3.101123286914283,3.299353491667918,0.1063984924876448
1.7571281169368609,3.310060173243,3.5242448305406504,0.5926653860040405
2.0356889558489275,2.090345327817281,3.1319150308732437,0.0005552206458201
2.4962587947445485,4.255377468600198,1.7665643821931392,5.483668963777026
4.345561655395702,1.1199514345475854,4.31878303599015,3.773351554354992
1.9166791308099975,1.9778094101889057,4.119474942741231,1.7185941424426106
3.50714717622326,2.517513179260665,4.613001843395022,5.434991984920897
3.1551178172432985,2.4706144868249518,3.80710094475918,1.2333928406123364
2.006039029047556,3.3929753689813817,4.814321674282631,5.929961441119811
1.5580627172250123,1.1429993228269195,4.252484817766411,1.5164022703962503
4.4549444276711725,4.238883856130954,1.4899246376466049,9.395929803463677
3.2269523063076284,2.613208495974301,2.174224875504279,2.544402699174522
2.342652727634457,4.232651562630631,4.411595589945003,4.709398482828711
3.131196284350564,4.693648926754268,4.396502055950066,5.442935641327878
