q,v,B,p,omega
2.818485220533636,4.286910802501796,1.7162340564051282,3.51468943205232,5.899969536714791
4.871809082762257,3.788528098909971,3.9298323063034633,2.0370091379893416,35.607527205081944
4.52349994793994,4.338862921303005,2.974499981595947,2.999765392310304,19.461539827838777
3.838725132137044,2.9180303342592167,3.255239141485234,1.3038091247270829,27.96698832222945
1.1806427815993177,4.77862706240546,3.0225075078840105,4.3316773449472095,3.936705645821586
2.07001313483754,4.051792029253219,2.30456819909424,4.179116320046648,4.62514499767966
4.568714504434254,4.29219806469276,4.04388906314229,1.8518662237614296,42.821649943441926
1.177961136030234,3.5912914540843963,4.216906812342386,4.51396626271664,3.952003397220921
1.466364973009722,3.4126782939100133,2.439186419538679,3.57384242530572,3.4154428408064312
2.6944537289764665,3.507002575825141,2.6770979556342005,1.1739205827303012,21.549259942500044
2.3394780420311454,3.1434786479135246,1.6759359230560666,2.5041453904657054,4.921838483995721
3.1241661024756957,2.7739422492754344,1.6569249183025825,2.1328845376285077,6.732355096481648
4.446017740783843,4.178420189340117,3.328425686378369,3.388832481912448,18.24618468232062
1.4456740002132435,2.8021490891161323,2.8785928988427867,3.917017867907765,2.977051214319151
2.8141405114361184,2.0180469300017374,3.258114128672483,3.2894033357084127,5.625047633581525
3.175786106523815,4.717711513517827,1.0888548448270083,4.437810659472202,3.676070601116854
2.5896114853016856,1.2966149613104183,2.873238029045769,3.619531680809755,2.6654151677079105
2.5693385690276966,2.04205432473081,1.909261963781944,1.0938933958124148,9.15754682424776
2.2773112787301604,1.3047592481052397,4.007260895468111,3.2477242555906902,3.666243030647023
2.5449071356507424,1.3348566398422794,4.053431116867664,1.2574983842209262,10.950196861575078
3.098812782035264,2.434553522036409,4.57427831836411,2.178885689426288,15.838089915970148
3.471731027343165,3.050332458221098,3.772513685914096,2.6377174836030397,15.1459246824539
4.292018362318292,4.414070934002252,1.7085545994268825,2.618443055988009,12.361939322699936
3.936807988850408,4.603814098001458,4.054188372448327,4.10416194597391,17.903644521670266
3.654060981890229,3.4446944483950723,2.214755716939385,2.322421997096258,12.003591052776354
3.940002212586356,3.217396666628102,1.2266632956473569,1.6438761422041055,9.459264103398992
2.0141810239710773,1.7296659669961256,2.494249869534531,2.104291694546784,4.129474203698484
1.798918416979526,2.6930648246672213,3.7813129894273048,3.5853818449982087,5.109348038803234
3.8966050069912193,1.5718843195715282,3.4995456915127963,2.9149576875181653,7.353369323984964
