E_n,d,k,h,v
1.7326456162506378,3.987554315933964,2.133273517039285,2.89000584594495,255.55280511181624
1.090875028715713,1.9618892708495943,1.4059907242124885,1.002911163144371,73.9696968499014
2.9646912616664807,2.318003795743772,1.050022576441882,1.5269180916708658,137.65770313752594
1.4123834325816165,2.7560014766148027,4.79011019946258,3.486520538042137,185.2143566241921
1.0436688388762074,1.3366294812611843,1.7694974426666907,3.926984683922096,10.558090601393056
3.98140356105192,1.6056422226562526,2.7635220694825384,4.713490553269349,75.62474457562101
3.476342293383712,3.389035643052524,4.48348275610455,4.188345990599671,537.1030542994159
1.0573903595932874,2.6228924701378507,1.5947728973885529,2.720478282920522,53.58703972291383
1.9094644010386317,3.846413005940569,4.163884864195671,1.7892803765792258,826.1398517212539
2.285989468699858,4.733978149535881,4.752206282924639,4.71989452096836,648.1858981456867
1.1668742072178675,4.263397312805022,1.4720601048320423,4.363199871395556,89.92199913289885
4.559052703635272,4.428466823120253,1.085192966911498,3.908241400633184,311.9728907209223
3.5440177134035395,4.955200417227529,1.4371646830202462,1.61099426918264,975.5302431711724
4.8460893377359335,4.2475406647567056,1.5751141113469722,3.235173345906902,534.9224651686341
1.3251913747636102,2.702189876698992,2.771068068092578,4.43301936673398,76.00947888729773
4.383064714230388,3.789076369421557,3.4012715914637712,2.533234144702287,1061.745533714989
3.914179760852578,1.085092452405359,3.349715248934537,2.21503653252537,87.58124472940965
4.731374896274659,3.995192632462747,4.111924178816258,3.62019456761734,1077.9183349188177
1.728491631124117,1.598211461187434,1.0166931363931453,3.536313127561342,15.950885780283835
2.091360239938821,3.655571346853483,2.40906317919678,1.4285707083954824,592.2372081135571
1.0259265362284422,3.653634810530571,4.393740371048766,4.099401862052416,184.45494248708516
2.650959632997365,4.341937783838334,1.8173138318032271,1.7064626654740938,668.8262530185939
4.0741726146618245,3.4720757737327856,1.296357303471109,4.4626228770531045,179.2925358115787
1.1468598688190887,2.388486645924136,1.0714225056103297,2.574759313248668,34.21290740282989
3.507278494115521,1.4294939127481865,4.07196625359628,4.66362711813303,78.63666525212693
2.675992578010042,2.10435567249884,3.7524772116410894,2.729105820930332,204.75322281126623
3.500716293069911,3.5098044903250645,3.770509348822412,1.836352413455488,1112.6962444996518
4.176577076944702,3.089546340822906,3.968116559777108,3.818425789458564,520.6188134416595
4.579221108138516,2.4890597412076483,4.046055904966324,3.170003034762489,455.034494448562
1.6324810189408212,2.115849719595097,4.927380034213545,3.1085577186834548,145.574318176957
2.173024201743273,2.9050608030077583,1.5467534520944852,1.7291253800339952,206.14817246357063
1.8792284106554464,3.606872905695957,3.335179264574752,1.8462256669630248,554.9904501903789
2.072655688099748,4.334227578407399,1.362635327613475,4.458723409665446,149.53042266165804
2.860279691276641,4.508842229344423,4.034558763517061,1.2679468597752566,2325.109643739337
2.800303354634586,4.047079504507001,3.1355025095272224,1.3376660849286657,1351.0077910867687
3.3149145277404126,3.7137728578880096,3.8613679086621713,2.538219679047812,874.027003712556
4.188412652091941,3.643178483728792,1.3948847511407814,3.2209693320202346,302.53244719281616
1.6432125202928152,4.45205610106307,4.980958050333549,3.2018112118486397,636.7105104751189
1.0825073676261745,3.4343515484888614,1.425379806926823,3.812373986310244,59.9881303392188
3.430972561189982,1.6018440937652851,3.2910937798157613,4.709940303812802,77.30230651367877
4.8723049849366085,4.473576955972195,1.4538991661850649,4.446492521138216,400.6552851171099
1.7922181094297185,1.0536747866119267,4.456300802944572,2.047825842848888,54.41208654851275
3.3863044102663817,4.645889376553407,3.590285551625245,2.685851212882406,1227.780213709667
2.327876689643021,1.4101881335567923,3.736683223643821,2.9482139007894057,73.73118941317382
1.491185337031034,3.073867299587753,1.1948725934190896,3.4240553762023027,61.786349745391966
2.9091480804427965,1.5541470701770137,4.010626843213605,2.863836842494877,123.65848019991483
1.351412831303362,2.5558004836470296,3.782355540387059,3.679106324281801,114.04383398072343
3.219237863524043,1.8090119790980943,3.3389224779594344,2.193607080501783,201.50847353074803
4.079433887210932,1.0211190314593717,1.26493174554065,2.2505499987601336,30.042836249857466
1.2129893498241668,2.6800441528866568,2.014627238621353,2.021879236527207,109.09133057203158
1.820342733170171,3.049780327246239,4.743136900326014,4.152920679599214,243.0032988623801
4.279346269236681,4.16167726445936,2.638042373135083,4.013871644500691,612.1281837145638
3.345853159038316,1.902497369335196,3.122561435174199,4.533447537658379,104.82075131361796
3.541402874636997,4.769914940789102,2.283316612580018,1.2664859998751057,1825.4595408649388
