p_d,Ef,theta,E_n
3.123079881992482,4.861586510270902,4.3775006309924045,4.990141752848199
2.281431002375747,3.0304104425788867,3.818781256574324,5.38808363046384
3.7475568731744686,3.87253180752452,4.095556568292993,8.394836043809793
4.056474631398277,3.6013462199168607,1.6009297195615324,0.4401451743303082
4.292149366265413,4.287868910244331,2.200761130358542,10.84219911799826
3.524579387033113,3.256901053158177,4.454099712983323,2.9320985625332456
4.67415462967968,1.2529959527826475,1.1085441756914078,-2.6118819497726853
2.3704547569873364,2.7900296609449966,4.137802529654893,3.594431472267244
1.2726446389072898,2.593294553310072,1.830762406250764,0.8483456610165941
1.1071337624310007,1.277331324516345,1.5808532396987025,0.0142220115085452
2.520991401751021,2.200345019548989,3.8277059982886295,4.291831942229442
4.373315666787419,3.9499996687679513,4.498110334847556,3.6733153463141694
2.9425240936857864,2.8479285026220835,4.035393323201379,5.249746854438371
3.897065799087967,2.605863269040065,1.9255093731079995,3.527124325060428
1.2614685156515837,3.459210238262798,2.594134710452856,3.7259343071829902
4.091150667481992,4.0800134078155965,3.959727107703916,11.4103497502123
3.856623210284158,1.0197199344463783,2.554816719255998,3.274857325481312
3.733275114881807,4.083970311223911,3.1346485355744567,15.24621713321946
2.94643152237216,2.712526352180631,3.944904080444435,5.549254408360937
3.443549281376206,2.858427696785037,4.852784707263711,-1.3773989202756878
3.597778538838235,3.7048113544067913,4.549420720287097,2.162616292698828
3.1070852754835974,3.905034057927298,3.531010288803371,11.224859388305008
3.12124522607976,4.489668523383701,1.7572962123524398,2.5983652116864016
2.035707508301507,2.426774827838755,4.275160315233374,2.091832755063966
2.031233657304868,2.6781235525965243,1.8599687537769776,1.551235533416021
1.956527865930226,4.792615072074421,1.6474981451344677,0.7185191131087901
2.1504986277503706,2.35179182701444,4.447561086097674,1.323772632659327
1.4376171794179924,4.833192411404426,2.3183737092844705,4.723886840615534
1.6979990399763485,1.7857602251372704,4.410781435636881,0.9007375882990863
2.805664849480201,4.701630924398834,3.1707561350034643,13.185591402285736
3.827511774821498,2.144966797674148,1.6064001407322683,0.2922414904536706
3.506838484951301,4.422520107373514,2.8059610835846995,14.643696428778602
4.796504110462755,2.475474092240248,1.279202005675422,-3.413424117587137
4.3596296190760375,2.8179798452119527,1.7626787443455232,2.342903181434364
1.1621082811426913,4.301024156379903,1.3111754444261965,-1.2831230262082969
1.2895144518093051,3.343960450299446,3.7735854764054806,3.479213995359145
1.777192137181903,3.8670022778456254,4.977457286667484,-1.800399874793192
4.631574919049296,4.642892694695449,2.1001430069183207,10.85881728963044
4.135610285304119,4.830095900651687,3.9507105938072655,13.7857592700865
1.400009372906502,4.789575235234583,3.2255943322778737,6.681806355699357
1.9839672460388829,3.4742496810234336,3.467209853331108,6.53060496788523
3.631438757109981,3.715340635570557,3.930799062560449,9.503906379526152
3.389669245260834,4.610958321340382,3.088955379479447,15.607976248588267
3.7274976844662215,1.1081240468110276,3.7953168319356654,3.2789156069440994
1.5934196559833032,3.2561554279405662,2.561462086639816,4.339549978327346
4.884550201605593,4.819451586558712,3.877537738007592,17.4484017964575
1.3700732325935876,2.122647596440628,2.151420655046341,1.5952721285761855
2.152301848659265,1.5121236673059166,4.599489595983224,0.3666562271787503
2.628166420216269,3.2817381162261063,3.2754703639308733,8.547775728753544
3.3559432252614187,4.390432497101985,2.2765573959147463,9.556695447796198
3.6534675784527,2.262766737469714,2.468388672233492,6.463329161198343
1.664027851067023,2.9551358265384247,1.3050772534960298,-1.2913322777414111
2.562122306149021,4.685502436818242,3.2812407339394927,11.887963800332088
4.614299875256739,1.3457649322465293,2.508504929771956,5.006339108626959
1.1738452101345906,2.927740867388072,2.5812636464583045,2.91117323287134
1.153148501341439,4.421233887966724,1.6818569243275654,0.5650613070880753
2.2886902458764338,3.063158829423901,3.953717585823559,4.823012019271509
4.572460371723282,4.952701905324023,1.4567547563666947,-2.576994860036116
3.537825055601554,4.662449436762426,3.476479667239456,15.578594990503085
4.061360405773323,3.658679330888389,2.519085773851814,12.07191358175808
3.010636645578795,3.3564523305840246,2.570649714899976,8.5023128702609
