epsilon,c,Ef,flux
2.531688274233771,4.083313208540194,1.8064613978102104,33.73496740296315
3.726167988739724,4.688430764651806,1.160065825594077,23.510139374444247
4.204037741112871,4.561899998920621,1.8082510130851095,62.708989313101874
4.177478466678039,4.803972771826087,2.119438309980312,90.14804597765078
2.670510192107611,2.7725437852778736,1.5869960803529055,18.64766082996773
3.886922551981748,1.972614973400085,4.462194831288257,152.66703471412225
4.346209035138209,1.2070594570126576,3.39099736086425,60.324561936196616
1.703401603652707,2.521888689348406,3.0323245929016736,39.49974955010016
4.798420342684408,1.1059338927417954,4.727765782973309,118.61493184043611
3.4962661167952294,2.4661858939964243,1.6257952699330445,22.790927631249453
4.508136817203532,4.368348211476317,3.39945251528017,227.57905830841744
2.217324185597202,1.1471512558153698,3.75715767224506,35.9061400880784
4.362080823942604,3.09330687719172,4.3863982684197405,259.61682730702256
1.4665138186534743,3.731437066886685,3.188874352392483,55.64640292819368
2.6638586631087584,1.1948854849641215,3.163562064540699,31.85592222653396
2.891532316068636,4.4268475385027415,2.3411388432752918,70.1579606988068
4.729870951937247,3.095173754585052,4.649358899360771,316.4611996724361
2.0143307476346286,1.0006871562939643,2.718705808957856,14.89887711144321
3.65786801265952,1.6755151176947836,2.081971697791752,26.565991190903667
4.860625948926375,3.5587986908519933,1.7631783556821023,53.77595293863594
3.159055881086446,4.180676602323167,3.9074524328829887,201.6467755935072
3.967386680936662,1.8653467083826036,3.5920026206616567,95.48549103990256
4.402427742139779,2.2647859173221767,3.807420481043778,144.53767880866764
3.3313502893194245,3.118987322135595,4.592618920502391,219.15668958375352
2.1248117952841685,1.9466589158969765,4.5248257258792695,84.68647297077214
4.629668896932889,4.178009381639432,1.445549703914204,40.41898482227913
1.971125380592246,1.777796260470835,3.721426603939934,48.53054342640057
4.864907270014274,4.917366805493103,1.3043260833871058,40.698605635865256
3.3449892851807177,1.0086600000710728,4.779111619832857,77.06086460124509
1.3762989461818935,2.7322963612304005,4.837164878102785,87.98778052086202
3.571389052215716,3.884480750288876,2.2118738206994264,67.87202916913415
1.2787452074050665,3.358268211346908,2.843389851962039,34.71940035224389
1.14599383263872,1.4484392079252282,4.180158368125781,29.004676362297744
2.668201253863409,4.118699584197122,2.459270591044832,66.46474341566898
4.102772994993728,1.7425685025437063,3.650907985269805,95.29478245283394
2.5432136746424376,4.506120773259712,1.9528030626677475,43.70212678839167
2.5611275251946566,4.177634579434891,3.819062276911504,156.05408217834932
4.031671206043504,4.269477604243607,1.9097519537980912,62.77891025833836
1.9285302435007927,1.32777650916222,4.093117729110848,42.9002583380618
1.1425673232461857,3.708856694314256,1.9980555630861436,16.91753075675634
4.706699938121734,4.7717574119887285,1.6083125364214323,58.09459964605792
4.409388452332738,2.173643396968411,3.3152081913666245,105.33877661372858
2.583051078641888,2.562609389535546,4.068714706293759,109.57964387555997
3.7603008568070697,3.837545697944477,4.336065515897746,271.3112641491978
4.085517766078723,4.609533041463673,3.760099322862596,266.25800256973434
4.689639108697119,4.61542167529081,2.930770804325924,185.91503865409643
1.187495519460683,3.3547841118289363,1.393977154494889,7.741192546424771
2.496862025149602,3.5791097444855704,4.03107267559891,145.2147780736974
4.008666495005686,4.6190643796437225,1.5364197161158677,43.70928323899672
1.9821387944339917,4.757590102319677,2.6018733707576303,63.840076120738296
3.152195493557673,3.0062742253420813,4.312835741201496,176.26560380914287
1.30583331425792,3.748056867330464,1.653753615159455,13.38552867696383
4.675638183662669,3.987644651939988,1.605208406775923,48.041902571079085
3.3015805930619244,4.934295345539561,4.618774577162382,347.5366234617343
3.555988320322418,1.8998903453904177,3.2681792864285444,72.16067847676747
2.2427401777198632,3.2239435293552687,3.365619554027646,81.9023633643625
3.676160055916543,1.592175360808267,3.4901971323600662,71.29929332049625
4.111272029819322,3.719897416950251,1.5826645700897717,38.30759944678608
4.452918206205962,3.880222541342484,2.5478117671157645,112.15949114152042
1.9913201778267295,2.276464658353808,2.2246367908427,22.434698494886597
4.632594776840158,3.9481560928059,3.161008279378235,182.755263703573
4.064216969298705,3.73564872108344,2.807590196257954,119.6769052706458
4.153158330327118,3.2085787274869286,4.812720644844594,308.6544162461417
4.889815203920596,2.799214705125912,2.81025789961812,108.09883464751546
2.1255636058400724,1.712365179562184,4.066593402138947,60.191060725854506
3.9534730297297367,4.65481522228625,4.882939576013514,438.7770728622675
1.78922935359057,4.338653018382066,4.358590500231868,147.47318823845387
1.1489933453695191,4.857705604357859,3.284105473519357,60.19811579172023
2.148213652000096,1.195174803404881,1.5822843171330283,6.428030787449761
2.5539378438687987,1.393126875634172,3.195225274479378,36.32486088145179
1.5429269840869524,4.810395463898834,2.385531287132233,42.237323452021165
1.7617589539469631,4.03247790107083,4.410175960124815,138.17526896360718
2.3684857242830795,2.279541127457595,2.730098648161816,40.241566971099054
2.7874400672894626,4.033100245360958,2.8321133412695367,90.17077760313116
3.485804970038958,4.875204511578306,4.268105016911606,309.5751678003131
2.1743391767334126,2.150779175656291,3.418864538194601,54.66217409004222
3.4550376912568863,1.2680463144458622,3.437602737909612,51.77251692444462
3.4935811629520286,3.1765245645560443,4.036977430795506,180.85715643876128
4.385925020612131,2.437475292925264,1.0550343878331496,11.899662820297433
1.8205032681435636,4.395832093925817,4.297123154353326,147.7706418218039
1.0737585524952515,3.470052916849921,3.669564624693968,50.17320159164292
2.565879262721776,4.052370576234122,2.839050606271017,83.80918897778265
1.539355874792634,3.9485109357603183,1.6486263354274198,16.520258732352897
3.856941499047766,1.508807601205155,4.302332877205975,107.71716967519706
2.767179038263794,3.3305055325314576,1.6731435188451749,25.799649714519777
4.9198396302978775,1.4873198915578385,1.1720958174748728,10.05267321805137
4.757661033144464,1.1425558661129016,2.628630469045297,37.56038337612159
4.704128595793272,2.3445580788754907,3.440128756128489,130.5237599772486
2.6114303007939617,3.313491767146291,2.2911189329631565,45.42130452284911
3.5575015271199844,3.845115942971676,2.671666928422844,97.63806500753832
4.388581590035136,2.869742508474449,4.142140212874848,216.08105888152187
3.960851603736919,2.8746581447557804,1.2478625967458037,17.72998270909804
1.903177028810365,3.20622775337254,2.1456387061556463,28.09226433537186
2.7213054342340994,3.8726357876582704,2.880931847657512,87.46814426918692
2.001889110862693,1.838671343862576,2.9089810128501528,31.14769389242186
2.0195530049888477,4.27886725516483,2.4214486774799644,50.66809857185166
2.369426779188895,4.347129498391111,1.4040652891255023,20.30581738983441
4.883803024268882,2.8503431034290765,3.699644742517011,190.5352463810327
2.14840694027283,3.914569437516627,4.653849056319293,182.14830496920737
4.754576076714489,3.4722810156204886,4.9475830690662175,404.1223372060804
4.339386374851683,3.0689712302160537,2.164816719497894,62.41132533172462
4.968750701660008,3.300052590536853,2.8381797528960275,132.08328554591384
1.8877312948979224,3.063197939029823,2.7276471176887185,43.02209991587561
2.325915047984734,1.904770800027897,4.777872251370839,101.13596912424738
2.387167103283502,1.740246661523217,2.8066227041733933,32.7236469501969
3.3368573250457936,4.261132119418948,4.512349532182679,289.5130231500008
4.652914992824845,1.8653766350044192,1.6534216068408147,23.72787622321739
4.5169414232529945,2.1111126607554787,2.8762749048662077,78.88903672299224
1.3435182004453066,4.288283634708062,2.877754012925396,47.71274391836086
2.8238314113447074,1.678360398362695,3.9861228555761934,75.30526622861868
4.862863266911274,2.7441974797922595,1.2187725223119172,19.82223991020456
1.1468467146046095,2.103514973399176,2.040533692864284,10.0447359064045
3.7603808690752034,4.715549566693891,3.0400453244533283,163.87936255384042
3.201897510486242,3.961443459164947,1.7547565781727554,39.05661912008999
1.457300725618108,3.5383124000731554,2.119672982850205,23.167708720615096
3.1904502792462264,2.65530298762413,1.156903770392017,11.338628803721788
1.9892895796650256,1.9212805087210043,1.67295685259118,10.69690810629089
1.3124800314294327,3.692608198255411,1.5658026745456786,11.882285832449648
1.109928715569807,4.665120906061722,4.796117294051186,119.1070813450511
2.8871391916076594,4.309061307576551,2.484962135601193,76.82276715726805
2.567748499621487,3.72024295099115,3.944112027108978,148.60118428356446
1.6271867106786662,3.505364531433874,1.2783974945426615,9.321856181863671
2.604495008564062,1.5542300519695835,3.1111373991066227,39.18115323444445
3.805566786021641,4.853309109197902,2.554294967796206,120.50342649087148
3.649001779558929,1.1068860340674949,4.694555860404922,89.01557574895405
1.8296473192660407,1.5749349002744937,2.4959892871488853,17.95210685909921
4.324392898195571,3.4102753569845285,2.0943520763062904,64.68654798619188
2.145266057286721,2.2986677397666595,1.89604739150572,17.727836544411176
3.7805279786269534,4.752773492515369,4.540640580129156,370.45360553267216
3.465439540859341,1.7964826944064685,1.096856127754855,7.489980656194607
4.809473813806256,2.64629960423624,1.632426009468991,33.91591888163631
1.47040469165567,3.1172681437501573,2.555733434925719,29.939335038560227
