gamma,pr,V,E_n
4.747416623921843,3.4286658076272354,1.8853356420841465,1.7249712270181972
4.939394997078169,4.279140009630568,3.0803721538817377,3.3460325095614363
4.824763579968858,2.770113622154667,2.422012742445997,1.7541608391221055
2.1791584733661407,3.919553627366671,2.402906481649009,7.987324035830232
3.2939324410104023,2.798706561269702,3.4957713808238244,4.265007166427757
3.904239052163912,3.973806398933504,4.646240883396887,6.357349178839896
4.373187485282875,2.0115010456258453,1.996795891369884,1.1907304414344124
3.611871314643664,4.34005396928746,3.9217579369295192,6.516646132345029
2.7299271933773914,1.810888072814569,3.7231177578390553,3.897360286123924
2.433617658784874,2.7854115855331485,3.161148280781443,6.1418740142612185
3.7093646867870222,2.4801381603904127,2.719215278854808,2.48915534047285
4.267642475239928,1.2126787026027852,4.758862704255623,1.7660963504392428
3.486970408367529,1.80881963162394,1.665371138154866,1.2112552680559496
4.770904172809733,4.520838140103933,2.699813260129252,3.2367353287729665
3.1514585366523056,1.1624291111752618,4.790976957948217,2.5885560850987166
4.6038830127841415,2.4910210635309253,4.59863727005763,3.1785999330766943
2.232676423575404,3.0595999753523007,2.01576564915747,5.003289113447495
3.657692120647945,4.363751284617969,1.717377022674346,2.819817288332658
4.30831791642166,2.764600312734238,3.611598837785525,3.0180374222354165
4.583273631906774,4.80964686713695,3.654672168284705,4.905481509445732
3.625995291640256,2.049927302928803,4.920671909600763,3.841217738796796
3.1944887310744297,1.989437832616852,1.5988327328868506,1.449439353135331
2.7305029621638828,1.877891268838364,4.278252137996276,4.642634258069199
2.1801748961824883,2.786343635702187,1.516656653918576,3.5807630113646742
4.681576818104258,2.7963208921023504,4.445598114899334,3.376628955683464
3.446570690483969,1.7401661436848053,1.8171859647092956,1.2925052625153433
4.702253916737987,4.749404875826681,3.605056020498843,4.624715383236441
3.79389402398232,2.0895498218209565,3.7256029889064526,2.786373783265004
3.2076477626070874,4.333276560074859,3.8735303809556494,7.603150597136418
3.977490319738772,1.697257155649354,3.957186142847393,2.2557126223582347
4.348026615719465,2.7467658104755763,2.1671634888950515,1.7779699089186325
2.109163430531986,1.8221145657903768,2.0235276997120706,3.324216426931082
3.542746077334104,4.878979000548728,2.9754517147005504,5.7092474009009
4.181284853025703,2.19643036234999,1.7855187317384045,1.2327621499234516
3.921841500388586,2.2666328697171365,3.060559613321688,2.3742441259599847
2.2439578805284137,3.617260800825179,4.689784256354162,13.637256550544029
3.956034241681745,3.663412888157242,1.006327205410241,1.2471411873448948
3.530017244564783,1.6547552030709944,2.396329661029184,1.567316975162957
4.472550776053019,4.073738898484017,4.059060444923627,4.761788521513833
2.436348228437179,1.5118009178311946,3.0948738054570875,3.2574503640754013
3.218916044187353,3.349506348413941,1.939047920557495,2.92703878400448
3.809366266325193,3.751034117280571,2.399864337454614,3.204271765679122
4.365566362009704,4.815286203147563,2.15076867236023,3.077213639606835
