alpha,n,d,k
4.6169663839257,2.2133172714651126,4.048336583305868,3.2375485869627263
1.561667200768528,4.934451151594633,2.8811663328048898,0.6901780959560037
1.3785112788190506,3.7126485017515343,3.2011058793507754,0.7287965685573562
1.1371390730129018,3.311618147214658,1.8684210394191725,1.1547246797503696
1.3810446169068773,4.308462185647597,1.4767349302366894,1.363837867041069
1.4379588547805922,3.7290425587569143,2.609142151571998,0.9286054899836736
1.0453040528090225,2.2684471732109337,3.601112638041917,0.8040019958129602
1.0545946703444464,1.0329188603747417,1.5336595221587972,4.182830611951404
2.4185136244594734,4.959133470031114,3.870523242508126,0.7916859358724387
1.5134171514954329,4.376427825335089,3.872769105545775,0.5610442866439093
4.874415248506629,4.874621394248424,1.5469732544719732,4.061427420082643
2.3806709945366054,1.7059116236615297,2.281191169106504,3.843802270167037
2.939441108688186,3.367108584916383,4.898905567239451,1.1196658747098434
3.9891559152586944,1.1544359983114565,1.9981835437008164,10.865648223946566
2.730089318365469,3.3886673255826936,4.393228799000354,1.152242704817262
1.1149779919403748,2.4886507773350868,4.091273134097227,0.6880559129567494
3.7415482101357993,1.0665835190845143,1.323251495830014,16.656891300017133
2.7758105868886878,2.5163721016396807,1.4423679774723643,4.80528070708793
4.081730330606703,1.3227954420175068,3.8486963480116514,5.037532249284789
4.483393410368196,2.909729330319464,2.1657355268859577,4.470218020156553
3.0586094617723787,3.277668497868628,2.935467372162738,1.9973842059075733
4.520500395088887,1.430587327660969,1.3699673120437672,14.49244968857506
3.197497602399929,2.320800754854539,1.3643129429035774,6.345096618646848
2.674225415538931,2.30094464552106,2.5868885520094844,2.8228902296294693
1.3978827694318374,2.345935863549169,2.9509288752713854,1.268749089041188
4.0387343241169145,1.2741835795852063,4.0157159395572,4.959411734104066
2.2695554447451367,1.5157653249287906,3.6583645399681526,2.571589942998125
2.1197620266494,4.7981707370571005,2.479598611899061,1.1194633865526775
3.342485126290411,1.8489040613844503,1.2571892989355704,9.035127792766543
4.275271450382622,3.296115472588025,4.233172276838431,1.9251971135055028
2.653075766449014,1.7754520335264998,2.919407630062081,3.216072560399845
3.140611651072326,1.2338984729702176,2.2470061464076942,7.117220462712621
3.306749170368005,1.9775806374805496,3.1216125672667783,3.3656420098471505
2.384269968995984,4.491691083918339,1.1201045889568575,2.977603323433564
3.2416955949290345,3.552132690940473,2.941539692848825,1.9493427425554304
4.627838942930964,2.97357828844901,2.939158694264421,3.327022147906809
4.784513869316863,1.830394172970029,3.055617675455287,5.374945290448223
2.127172033258701,2.352269267969697,4.3627961500463215,1.3023584345788357
3.1086378023622854,1.0600044768303691,2.0800951176675446,8.858477739174573
3.492432905507586,1.8009014099968006,4.572099079608915,2.6650316342644915
2.1831824783363016,1.4745424347409737,1.6111362353158871,5.774047668235887
2.1768262658428226,2.5443435246013597,1.5275807996748778,3.5190359143533905
3.077559828604417,4.28660323052927,1.3631238659852989,3.309312382368672
4.882700760625719,4.280483973101742,1.1275612335480831,6.356337753999985
4.336737949310493,1.795876637398348,3.575644096155473,4.24338330587084
3.740046602307909,1.3774378054532446,2.522680535001275,6.762739010043515
1.283265156564846,3.139233384680205,2.100152271953919,1.2229871163860722
1.4535679328858344,4.425431833264937,4.416467213424422,0.4672879000796088
3.85623376139231,4.416017615212137,4.874893836615231,1.1255045669463886
3.178587706171383,4.007309933971665,3.9732519738246177,1.2543392925385937
1.4870214448858323,4.705641831381245,1.788860958086547,1.1099454787122442
1.379312396611247,1.6107609357495254,3.0146185470918097,1.7847568296070484
3.700295332762532,2.3913527472028195,4.279419448097534,2.2718923902167694
1.8061818811118504,3.331088457265642,2.535989214516117,1.3434075413372777
4.433229659991571,2.178935239086492,2.429091602198309,5.262739620078702
3.688575987477584,2.027564861511467,4.128745308039851,2.7685078148165894
3.776291219018008,4.281270087764835,4.871239539944165,1.1377143458293166
3.9988923651826656,2.3661079989184373,2.789370734014106,3.806964082378766
3.05612308374324,2.440691595522108,2.666640555138983,2.950348538227812
2.5763697741914253,4.13182902412557,2.546548856102433,1.5384865686175633
4.052484825670402,3.761491675906302,4.526578937427647,1.4954471256267392
1.08332534871976,1.368391682036049,2.9183231787632526,1.7044919855707532
1.1126336576705276,3.4463829963771007,3.691670314187995,0.5494720595026343
4.024455032106529,4.259850170606832,3.921381599657391,1.5137477709066731
3.724595036875601,4.353129595272746,3.695448058000258,1.454756243161352
4.966489409225438,3.881622717776283,1.554335395390667,5.172152532218097
2.9882004573950893,4.744783850935137,3.2018161054665484,1.2358813498068202
1.6061480561680035,2.149907086516933,3.887402805486753,1.2074974153658389
2.316195948889176,2.000991602672573,2.046810801758734,3.5533026494460835
3.709396091410373,1.1891693204015583,4.900699971537213,3.9992749878116647
3.6716018541757256,2.75834911010674,4.458148425164155,1.875995074406507
3.1511480722785685,1.1506045897482169,2.954280719004019,5.824663188523997
4.9237810224853416,1.2605952749057645,1.041911418512199,23.554404339944963
1.4265613535720534,2.4371510870730058,3.7553889464877113,0.9793387659559424
4.632037642843429,2.0856021413193147,2.126181647037888,6.563267713343645
2.844723442985809,4.766335457978652,4.768780361181683,0.7863719156037478
2.7127664428334364,1.377844868356923,4.100430357099024,3.016911077755703
2.614199831481398,1.137167605264434,3.283117482429549,4.399544832285789
2.066736400983893,4.880702839502225,4.040045463836779,0.658561500263107
1.4929927071209987,1.3104754031020756,4.251778157512862,1.6835967714910929
4.344125904519535,2.9087860474336327,1.1629918210367505,8.068519135134204
3.7386450268087823,3.916434805815329,3.919489655580043,1.530289774878229
3.990642170148672,2.130435295504572,3.138692324803659,3.749778044970849
4.694764564758261,4.846159919008459,4.503951569860494,1.3514570026901669
4.717136038229365,1.69419263603156,3.5734196899459536,4.895662310044242
4.674729846918504,3.4229773775581136,1.895194344968012,4.527710032825046
4.506875287345251,2.7244152017863428,3.587953974146288,2.896911652804196
3.865810928167415,3.869585795064844,2.114685351483057,2.968316736077592
4.187771280523357,3.96451639238116,1.1727474658146062,5.659370172187735
1.4481624398723474,1.7088770275467926,2.737612123131079,1.9449767787209176
1.063865310182484,3.4748725782260834,3.460149105127615,0.5559462671738985
4.275562989697336,4.24703511376186,2.4639056183239147,2.567221007302469
2.374390465324121,1.045142920717815,3.6930365392264415,3.865206668732976
3.919383843458072,2.1533426109197333,1.1489808387257243,9.9534066078587
1.4347228873114355,2.909020462424489,1.4001964040557522,2.2131566792117656
1.7663189374322208,1.363176659314186,3.9835949758565614,2.0437213234499225
1.6090085913590535,3.962001369849813,1.2592289615474177,2.0263707427770186
2.883378304081167,2.544143309311718,1.281618288237202,5.556242953726202
4.317654115342815,1.002783524572358,3.604903684203783,7.50458810980452
2.6798024151733264,3.5987365373090694,3.1233463359938565,1.498002179277669
3.973675351568228,4.4348257061586,4.520310253021203,1.2454533089084645
4.620453216036586,1.2648446206108417,1.3905318602154175,16.50617037492025
2.920490660816672,1.4272054469707078,1.4606685672625637,8.802327278904182
1.633769275704971,2.037507935926153,3.965144909968137,1.2706098575180462
3.702590850757458,1.8327574908967372,1.4106209734853072,8.998502714345948
4.742024946110295,4.175991421446923,3.1988462361572605,2.2304410022880217
3.6435334250884233,3.423320191650012,3.9921279335508295,1.675138245609603
4.248521115014313,2.6752289782332395,1.9162624995207744,5.207169186284021
3.061399132042955,2.336609510206862,1.112096030653403,7.402380284602292
3.5722634593056344,3.227583161967169,1.2437416354455464,5.591337858551748
4.96542279806281,3.872170211208602,2.86634532522289,2.810950199778111
1.8139076375242609,1.654754185650846,4.029642929152846,1.709208267785408
2.226848984042032,3.5678550424486213,4.195485766581255,0.934719237481212
3.891615606515881,1.5774950793631546,1.9861427603979176,7.804252818421475
