epsilon,c,Ef,r,omega,omega_0,Pwr
1.4599094186735542,1.977473951499827,1.0820552527139435,1.721452957884947,1.04309719588045,4.107566065563283,0.1993778247012253
1.1040676747301212,1.9472432908567887,1.0731803025507411,1.2313422143723107,1.908893638175836,3.265799914130441,4.2351167962663565
1.3663149232357474,1.085018468326277,1.3797246916195935,1.317208360799251,1.4850942376829073,3.00747239060427,2.1328106199031067
1.939843390808651,1.779363401183978,1.083977336864967,1.1795954972663298,1.8204864788770811,4.396924117361134,1.0118543705390632
1.7412110451978775,1.4203231057049488,1.3194135830705562,1.6975470124057832,1.3718547083231876,3.341299783778782,2.1362598174591496
1.7289857912788409,1.2495358783172998,1.8168488442012407,1.5260695736249232,1.9779411627634575,3.7390919395290254,10.503499251726716
1.5208687327706116,1.2238147125660384,1.8088192419755051,1.2083564800952038,1.0580628774879486,4.6588185279007215,0.110158177324522
1.3452536367140815,1.9151732827296044,1.4916908475473494,1.8892233444604865,1.0805973410572192,3.7374491678262634,0.7131880359916754
1.773141976359054,1.4027233586108587,1.5823242274797544,1.9713001820832008,1.8570515466440671,4.217064442133559,5.8668036082098025
1.5997167698178083,1.5140437209329634,1.1044238208680994,1.0474096792763776,1.2158803606040822,4.477736928499761,0.0860264359704318
1.0877076933519143,1.366125977288856,1.4767010872421622,1.9929778444199853,1.5381410945818597,3.515091938351732,3.023681180918722
1.744101377531255,1.2529760880319714,1.220827111143718,1.807158727570868,1.842510430246855,4.508555293101709,1.791083142227188
1.5918956649454754,1.4769941622748268,1.3824836864881962,1.666550238564292,1.8691972575363147,3.26567041998634,12.411826005299671
1.8803781253832124,1.8786736875290544,1.7273168426634045,1.7676092606438023,1.6016074447823423,4.5982200094316426,2.629696459304764
1.851102667759505,1.3785209861752885,1.0199791737504946,1.6557914806545435,1.4659094203331744,4.373197584889747,0.4885240045281836
1.7288853005377751,1.6397921243720843,1.5013977119786786,1.0922251256892626,1.6749596756384424,4.999109551438724,0.51066280798774
1.6028932660267527,1.440211854457782,1.5352822755813975,1.822953738325108,1.0726143068549412,4.91058390924227,0.1901305310386798
1.5367404181650857,1.8200536733515928,1.7389039532696464,1.5635124869484478,1.280618046499122,3.694129642583951,1.6157151212156595
1.2836611472835089,1.0666301094162185,1.8020148305181252,1.7053796656798004,1.483705567682132,4.006995708636255,1.367453661568564
1.216025970347543,1.2709653274019153,1.4114957161520945,1.7737979459440747,1.744434680426964,4.437991165511358,1.3551314619873305
1.7444183968375908,1.3677650390372778,1.7524751199754909,1.4204900611403577,1.862547668256756,3.069106414815973,21.0512706550848
1.3642912154385165,1.7499526219914303,1.0750717082745076,1.4357698992463872,1.3993758717048836,3.579296954801632,0.7757027742320282
1.1224002409540967,1.0139504891259712,1.8934607124213807,1.255928249082189,1.9438649166520832,4.38498667594827,1.6126160689467508
1.5453760928416642,1.4792678489126874,1.9276073955625912,1.2607382061680987,1.761908304332319,4.704071703379091,1.505870172272415
1.0762832956888464,1.9659850791061069,1.4365772343760652,1.1849610486422684,1.8240764633931656,3.402149616545515,4.180257601256065
1.9595606781603463,1.7176334864533485,1.153694072838538,1.0982904349585416,1.455054287054342,3.1924531807863503,1.5562202520413655
1.894041070601066,1.9097652707108763,1.3306170850384509,1.1673920106802176,1.7309987642089937,3.2810467678117767,5.4383147198692665
1.4417140082434998,1.5526610647793275,1.7251193317689708,1.1538521873902503,1.7877981579489184,3.675486620568932,3.5685242318429005
1.3789880745879208,1.756550866301858,1.9875290414587568,1.8827903067257723,1.01223296382248,3.640751620746084,0.9971885284524676
1.6102050038199385,1.0403897676164369,1.477832217144902,1.379568565049334,1.657800661431756,3.134566345226811,4.398540597091575
1.545977021172292,1.8736039691719557,1.606771627753204,1.7306275361401222,1.1244040280763294,3.573464997504132,1.1328529422673617
1.4526350135476898,1.5452246790426707,1.8124914025383083,1.306329588029408,1.9024108842060845,4.975917600942736,1.5448179985458053
1.3712201855447923,1.0506616392659691,1.785486618738827,1.1770984873462418,1.809554857104312,3.779569341776207,2.3575349502658347
1.040857242398801,1.6622212904784852,1.2931130551200924,1.211594809184045,1.2111040618012483,4.226657724618817,0.1423337141708093
1.2399091168750247,1.937317242526119,1.6405924250387895,1.7899092754975707,1.3198623855013767,3.602381294189424,2.085942190675661
1.4579998746305205,1.021485986172194,1.9012695988827424,1.5055796461760198,1.752439982664565,3.522998713880372,5.525965427888306
1.113464450731119,1.947012507364406,1.299314066298158,1.8379655135086868,1.434733109797983,3.208088949736167,3.2371686745093835
1.0057188486420912,1.734525961693759,1.105794929860548,1.1156118136124873,1.36860080013929,4.904378872302516,0.079306868679705
1.3385209807164995,1.1590196614577546,1.2226692296304642,1.9418010387217024,1.627744221442335,3.747937704042212,1.9795138730739328
