m,q,h,epsilon,r
1.9967383428925285,1.7837900355037064,1.402102748598447,2.0690426784813507,0.203784258208201
1.7158304779932396,2.34646500095665,2.2084683614267724,2.094554550157095,0.3442085288966885
1.1219993621189808,3.461631261240977,3.262702239825324,1.3765442328826896,0.3469292859663394
3.915123705568125,3.7132996412077377,3.339427125586641,3.332162652669865,0.2191062573997476
1.1354275698860152,3.5002299188836385,3.118097963315872,4.980093624773783,1.1079357223049129
4.887062085556253,3.4831297927530103,1.1145007721362812,3.0060494568804392,0.0200456352593943
2.051018797461781,2.382426681094964,2.084257695795228,1.002855177054252,0.1191193861179138
3.200296981667091,2.8526288159220234,4.468048475594626,3.539143950616397,0.8635814312383103
2.779516231509888,2.053314295807898,4.438772480708495,4.331521614970916,2.3181220965175653
4.558181761002835,1.3660630162250378,1.013429116576106,2.921782232811896,0.1122927247894041
3.380781870444304,2.6343909062788224,4.641323094016119,2.8170950178219822,0.8232990959716604
1.6953035850832825,4.429783028995351,3.899994206535792,4.967226086839208,0.722902269776361
3.457438814586009,3.9823794151890346,4.51929943560127,2.387731529299136,0.2830988362951955
3.5478800315403465,1.866849299723687,3.904642984176161,4.240034724119681,1.6641587539706888
3.706599783340248,3.7945307848071455,3.792296308853859,4.191213602410764,0.3595030603167792
4.962705965010711,4.029042103342517,3.628719601862232,3.364696004803939,0.175057460986057
1.3314144085309518,4.066438690445425,3.824444550503413,2.541620229281245,0.5374719609356751
1.7772846126290696,1.03221039221257,2.170047869311784,3.1698290087489966,2.509176178407406
1.9961765764388424,2.6175654146754272,4.741206332703655,1.0004092384263543,0.5233732114804823
3.1414956211531435,2.2871442381515195,3.3135400086365085,1.2913605562091297,0.274636663854062
3.182624165400168,1.671319267288322,3.0077958621781096,1.1954635064425283,0.3872388928497622
4.601253054515235,3.739095091056162,3.860774897832264,3.416122298060415,0.2519552198599547
4.94447503891614,3.25175280974618,2.8783879169755004,3.149692776018832,0.1588772559630436
4.876284189623272,2.226972380551067,3.921093751869722,2.849894567373244,0.5767328688837947
2.772986482806323,4.974709101218778,1.8126044318495744,1.038165073051295,0.0158212022788235
3.0189217104562363,2.223538574251612,3.435107452414345,3.286652549238409,0.8270721338360021
1.940081771540398,1.3222567706446715,2.32945698192517,3.629543913046033,1.8482466929714831
3.2877976333448213,2.032428012405208,3.896889309281864,4.156501109824985,1.479376600999338
1.4014841001061953,1.253978535203316,1.4368006502588475,3.202996405385267,0.9550612620098368
3.1510011107377016,1.8946731188734056,4.874184787453627,1.8815931006144344,1.2579479617267897
4.443724333402587,2.8416403735867184,2.3762855784303367,2.5113549551782453,0.1257969621413469
4.86728758051652,1.5343558774130557,3.463386717207311,1.86028975856598,0.6198598216477664
2.8189986825030298,2.921134075502362,2.6686733246344128,1.9568866451691016,0.1844203199625369
2.20447398286304,2.423559559436565,4.81462801832061,4.911648165197016,2.7989199827502937
2.8766098223718557,4.522324473920788,1.897334787887071,3.812132724249532,0.0742508930209539
4.475449446908794,1.208197990748027,2.284130102488997,2.5768837961238784,0.6550489616103317
3.761707455164194,4.996644438820743,3.755425684034361,2.2389368770761213,0.1070208537258159
1.484822519642722,3.6015985062741183,1.7360505347978283,4.809850393936375,0.2395748807553569
3.936827310275965,4.8901292433183805,4.427840123068654,1.09624285690784,0.0726697601596094
3.4415917826541267,3.118630789793121,1.8449625062949448,3.0443385091123902,0.0985441567176106
2.033868280747135,1.973184345613599,3.1639285268457105,4.754668824225234,1.913222952458873
4.027745904669416,2.923328831421647,2.340783853212745,1.0616012296731756,0.0537918848191764
2.7920580638290686,1.3142522432522568,3.1553103405122136,3.877197129813996,2.5478289714639577
3.432560116435684,3.731294213546985,4.715545758438376,4.605221955302087,0.6820676935978678
