mom,B,theta,E_n
3.455333314043689,1.786679386535336,4.3505397111790085,2.1854716598544
2.072210960505258,2.8142212954866506,2.950590253544018,5.725608146557625
2.4710859133890093,3.68336531573528,4.772620150087061,-0.54788740437325
2.7558441804385807,4.186893803208834,3.4243555319832977,11.080215613233673
3.856541828495861,3.731992609437136,4.991055847348106,-3.9590288064972152
3.565923496733693,4.0639894541226464,3.174987740642081,14.483795335436946
2.452618056074541,3.565471948436671,4.279041292097389,3.672016339754749
1.389095056038819,2.3367972372989287,1.8196264925209245,0.7994017167414722
2.367190974612317,4.313672182061669,2.05953317308966,4.794310941941838
4.220284390639432,3.5003067304070834,3.709333454450421,12.45478291610386
4.648330457608084,2.353758446687713,2.4698345314408794,8.563871400666448
1.2995854399494131,1.991483056691071,4.70384117419021,0.0221223281962507
4.14738993143793,3.014052530993457,1.883737600802268,3.848368716482593
3.1029074743350584,2.256299743410596,3.2026189490122663,6.988056624607599
3.629382413485484,3.522684867807345,4.533526509185414,2.2746136138879804
4.802237548202996,1.9604860026908293,4.17610586154748,4.810398639454952
4.420019670910745,2.608107546862381,2.3006480052577225,7.686323360985131
2.2083053325112565,2.1775174423594432,2.72011452212927,4.387797759960657
2.3210846059236725,2.018925809568155,1.508838591720962,-0.2901542727027266
2.3665987482573927,1.8809488290793304,2.446961285848287,3.420004137025302
3.3396348612283338,4.621730464811234,3.861155561725421,11.608487776732948
4.294286270039838,4.8423527187598605,1.1442735300647202,-8.60282212690479
4.466511358845136,2.192614082537806,3.4093191423077047,9.444446377309308
2.176279203275503,3.0065257566534176,3.177800671089952,6.538750917333755
1.8520249576620595,3.5589754497781088,2.2845222904570317,4.315034070388742
1.4522339383909912,4.878259559778918,1.7308235000719772,1.1288598219029942
1.7456545809569772,3.768881618573152,2.2163633321950926,3.9583643464579055
2.2109365941549104,4.456523692974567,4.927837366729413,-2.1064477550185456
4.24125469887313,2.0409351122680417,2.724328778339,7.913440482038224
1.1217768952416869,4.666048985823103,1.3512308636703851,-1.140052115608185
3.6655693134446974,2.0183555334501526,1.5161236243033065,-0.404290249544759
2.2850106010546973,3.934109879114208,2.839843640767549,8.583321402816827
3.620467526185148,2.3729975336894054,2.589650521296565,7.315610376787525
2.4370905084070413,1.5600015694243623,2.210846751888158,2.270610223799788
1.1469263671988013,2.30959932150924,3.5142405884898915,2.467134428078213
2.078270024043558,4.890756126046263,2.502135982339509,8.156048263862395
3.2457137417492032,4.604266674840158,1.093731838187956,-6.861947813683418
2.188772456636515,2.265798031610168,4.1027470553121566,2.839575227646705
2.063468935343033,3.3019701093018714,2.148348395452659,3.7200055346402894
3.175513137046916,3.9112130306477697,4.227829220691809,5.785520527733739
2.8830043667226803,4.125857415854052,2.0552718658653832,5.539965761041053
3.1982993927957324,3.2588097537100555,4.164430084471655,5.429637961431073
3.0867342038182786,4.555334420086396,4.461229879730517,3.49456266015662
2.042502948408304,2.259319835680225,4.88105378253792,-0.7746469065059559
3.4825296106011794,4.795280939358794,4.901221557043121,-3.134741438499009
4.23245159626938,3.185414335591164,2.477677414886247,10.618318391315425
3.96414012283614,4.563666814961693,3.176174324650947,18.080198356792216
3.777664860928697,1.7521418930560038,4.593924603125635,0.782283552394099
1.7967464069044805,4.194084960948141,2.9145823517823297,7.3423681684903
4.719459004087231,3.4934798785495667,4.017837533332134,10.552568155345115
1.7284756579543197,4.595292397561313,4.304055781762569,3.1539482222302486
2.925779123818625,3.839691754541112,4.03790498961709,7.015626072747955
4.653284987596365,4.052466624129359,2.5838588779850884,15.999587750077485
2.049048981817548,2.386773827570719,1.5798520861109937,0.0442876404409664
1.346600255127472,1.6720587761970287,4.593986819584355,0.2659712237053203
1.69339332409086,3.078597020448284,3.8466587113570703,3.97026777462669
3.602372813376546,1.08745715680918,3.092996679251521,3.9128013721715327
4.756676873156708,1.7267145736007676,1.7264373468319798,1.2731906904080414
2.082008675879388,4.540902633746269,3.6017856272439586,8.470648237465705
