pr,V,E_n
2.0541617772465632,1.4202971748793063,4.376280253452523
4.258729889337211,2.6385402073311464,16.85524506776873
1.0398321051294062,2.7562456606281893,4.299049091317201
2.4012252896362374,1.711043510445636,6.1629014234250405
3.459474847435809,3.639158508344971,18.88436598817717
2.1449883698645085,4.7036426453048055,15.133888155266307
1.0775994382674985,1.0989916306629297,1.7764091457945828
4.116060212848359,4.604343779273679,28.427634354216348
2.388646982287208,2.294163438640587,8.219919861873723
2.668703043024405,2.0664969018330885,8.272299855483704
4.021773519507557,4.228276452950757,25.50775540745204
1.166211772315747,2.825469435906261,4.9426435777083215
2.02730227843094,3.148755074063969,9.575217503806304
1.066927106653186,4.606889904287085,7.372823574376189
4.953012481326137,4.206036293242658,31.24882538601241
3.5642494951191703,4.056835580690846,21.68936125538825
1.647023112244078,3.729435428935018,9.213699520616824
3.1601150764988843,3.8841453513767568,18.41151942629812
3.237449781311589,4.989890145572435,24.2317781408285
3.999069676725869,2.693686548481586,16.158360291955617
4.742316620677395,2.554456248322762,18.171060484821385
4.588498496362259,1.148596224349277,7.90549807253104
4.456652308536729,1.518372336288646,10.15028636660865
3.6739969854226864,3.1610160307395945,17.420345051715085
1.8238216010486004,1.5136349967745426,4.14090030483081
1.884679921737832,4.232832053377507,11.966300374633358
1.6276891338410873,1.2338168890805736,3.012405515259095
2.846915556489989,1.280424163031694,5.4678892029609045
4.108585656300646,1.4738756717946653,9.08331666645906
1.0412835657284,2.2659138343162115,3.539188255545144
3.503661986791818,1.6113158900159386,8.468259348843704
2.691346781273606,3.168015738181216,12.789343439967215
2.50805600574538,4.63853320199434,17.45055158266688
3.644955910409997,2.8066073718717024,15.344940192456043
3.469515281156597,3.776626335428004,19.65459417297885
2.5261237910055314,1.4887567270132045,5.641175680691374
1.4492046802361975,4.319389754381113,9.389519771720083
1.7305933776896785,4.326352858687024,11.23073641018886
2.172393729651321,3.0264457466332955,9.861947644674125
1.7618977798302562,3.323588437817345,8.783734634489834
2.8314658412710103,2.1770949672744893,9.246555049561117
1.3954779939489788,3.563967508185307,7.460157343232659
2.744749041620149,1.8841346316226333,7.757215086644333
1.2818118545497446,2.688270034979977,5.168784598602287
2.562233415322203,1.2438459876657184,4.7805356296673285
1.529250150917867,1.799521949706408,4.127878819752809
1.3097393142420914,3.705578647755511,7.28001305547216
4.290642723669309,2.667112347845885,17.165439282740273
3.9377380938905615,1.0589988420245835,6.255090122439293
2.707408189727807,3.516426074116786,14.28060112745428
4.105220380214245,3.853160573242414,23.72710997026914
4.2382166983477365,2.855474529327421,18.153179747853184
4.309279789413213,2.921030744717505,18.88130812869866
3.9983451846832985,2.1881279518122017,13.123336289398868
2.503052703275712,2.0832440676482524,7.821704542665071
4.873054231065459,1.8296630559745624,13.374070944511498
4.634195311830963,1.3712843126696188,9.532198999441338
3.0605810113474474,4.951753368093327,22.7328634968933
4.840170554061306,4.524923087149915,32.8520992287228
2.2879256731076074,3.7459110812433742,12.855549197932488
3.2753590782576123,4.446156027702904,21.844136263029768
3.6865363248695737,4.823695749377922,26.674094400301005
1.661954691451458,4.777779088523243,11.910678556334812
3.369822900454158,1.5840786204386412,8.007096616910944
2.261425137711772,1.0175254908532971,3.4515865849172327
