m,g,z,U
4.122203306029014,4.853193553123663,1.7759747829954624,35.529886017222395
1.8263210775030188,2.573892043961576,1.4605523654418875,6.865696338681201
1.8408347998162784,3.133531739587691,4.939585111069047,28.493079296713663
1.3171544062564289,3.104952273602029,2.3594173730702885,9.64931293113413
1.5191759670977922,1.7161768970986482,3.746026704271431,9.766546039014068
3.3097660874177066,2.970184742860023,3.804538895591252,37.40096373703669
3.2821358812828088,4.544626428662351,4.454200374086471,66.43921565707002
1.6660165319880798,3.24988704944706,1.7210789614376347,9.31855064017245
2.4697277904819432,2.96106830550976,1.3921031391267649,10.180495755421754
4.758418629322686,1.622142378105603,4.598544837571249,35.49539739733653
2.9563654525398584,2.4320433528633294,4.420200847164593,31.781283640791333
2.3793760126387493,3.10579973239868,3.0268359533475078,22.367910232659177
4.027881410684692,3.707472349868337,2.530464779663815,37.78808584049376
4.611219003515961,2.432678487944207,2.542474994578088,28.520501245584
3.867854925977254,1.3890887991773648,2.5120357169079512,13.496650313336326
1.645331329105153,2.674908646838157,4.3353685771226935,19.080438330088008
1.6806091997853665,2.107536234354771,3.308889829497125,11.719905073535193
3.1324837426622087,3.425220610827918,4.497635946641256,48.25715046573036
3.6437008447486288,2.1458227270030026,3.6735770915553694,28.722729759652623
3.535396118946258,1.7167595068196633,2.1616587571550623,13.120025480736516
4.560891024333458,1.648009928476998,4.366707890011108,32.82189563405989
3.376120095633171,3.529523519673468,3.0984260105397343,36.92113956823388
1.3382307623234575,4.740113449934179,2.0856865531562163,13.230272407934772
1.8967956379080213,4.398023698091858,1.47515752294865,12.305988525193465
3.667106990070837,2.6013671276690875,3.738892617813947,35.66713463724605
4.056252583358482,2.7492587621537456,4.416042040882264,49.24632284185245
3.1179338845088,3.875717746546212,4.769462221593365,57.63528651646747
3.4501400456279594,1.2124005561700495,3.426443052425468,14.332645825990848
2.5420072080155167,1.7891018917325212,3.869990295534979,17.6003671959949
4.7801480121272055,1.0388880240462912,2.614630821717895,12.9843573839896
3.3180552464109083,1.436185466273789,4.304762269765552,20.513667548675635
4.481232347779011,3.7264008138808657,3.356398171276965,56.04804957439302
4.844796807471438,2.3132584141054955,4.268425615475962,47.83738545483866
3.0085712370790083,3.462448872329014,2.3739430480920496,24.72942191348701
1.381850260993009,1.7689397078301463,2.049978324728176,5.010987100492472
4.872771031682674,3.70224426293512,1.893499924189475,34.15909574010854
4.717618006473486,1.7495244036616828,4.549320057435358,37.54821265845382
1.3456704752785713,3.748296584080151,2.0698801682018666,10.440417706533278
3.4951349204908606,3.0606386576153097,2.844899241990347,30.43286882756918
4.799405772856224,2.0294447698341256,4.736222991378501,46.13142264372869
1.6113470152604004,2.584113540935544,2.102667412844709,8.755304496745872
2.2888277818310265,2.0175428944296145,4.414580115286601,20.38568437868048
3.656434905650913,4.036740917680215,2.992944250211883,44.176097755295686
2.293403449584514,1.1463678902289105,4.46544046294886,11.740018404283544
2.9017403470356857,2.488559287890902,2.5067283779385288,18.101468874965576
4.017743382562914,4.322099776696558,2.650860175717631,46.03241963482796
4.969727275436634,3.9470833645415566,4.55583759320064,89.36698154816057
2.5223929478269658,2.0248448373848364,4.256713810879269,21.740971420120843
1.6643282211079176,2.879284648989897,3.860741028453223,18.50095939765955
1.9976059411581064,2.850035125412923,2.0996018206415017,11.953551974494037
4.396333300544983,2.2237933820856446,3.9959976560748753,39.06701853371144
2.124744265172881,2.06077919859139,1.74623425763905,7.646111584095824
1.6587571467415223,1.189801917888769,4.376706997363709,8.637835818041088
4.039809120670611,3.0583671357473388,4.953979570251917,61.207504738065744
4.728289311816339,2.0147786970812853,2.767814245396657,26.367462227743317
2.3496235624409656,3.682387852162653,1.475718650178032,12.768250186870407
4.075471151571582,2.9035826577849653,4.809600091879538,56.91424569231998
1.7666233419440518,2.3016382270319684,3.0039714669882422,12.214531942149735
1.04710322021239,1.6311343444303477,2.552169396802961,4.359018618896155
2.4190529354287125,4.426088791946119,1.892161261417621,20.25926293293144
4.907179134007283,4.137607091420337,3.1829177597606093,64.6258959377308
3.2050717306582954,1.8242305248102757,4.941049439886104,28.88927689955178
2.579850458116949,1.7433091026407492,2.9322104513679856,13.18754843988195
1.960379593825189,2.9300561524019906,3.2361142091638397,18.588312150198902
2.4601833647036453,1.3611379107146535,2.004738649694677,6.7131657638423095
2.7555274460210013,1.5628646891930642,1.791497592713256,7.71511402422258
2.300612074103712,3.5677124639402624,2.208860951696721,18.130159220900843
3.7858826866070574,3.6524323824406486,4.1802019968226265,57.80249772399287
1.7566233622047325,2.137798260912687,3.936390071560799,14.78235070581286
