sigma,theta,f
1.888054677552956,2.575006205192528,0.0833658461719997
1.7513310038831578,1.0367686073876148,0.1911799656635253
2.545387986346083,1.5551911863001835,0.1300453151972755
2.38333589184743,2.8754352016591627,0.0808442630418683
2.117279985998282,2.177373994634329,0.1110409522988476
2.7905912343991544,2.2770101677256624,0.1024800444575088
1.7184056940556751,1.3844464767250848,0.1678176182195118
2.8326593410706824,2.450021349938619,0.0968882447675253
1.6939305071899378,1.5997822239423742,0.1507767696648117
2.863540926139696,2.2089156891927217,0.1034650784465218
2.4709916016098865,2.96762493137138,0.0784933734214378
2.8473947771506563,1.5485266043260175,0.1208477415758327
1.2818194526607574,1.8467031189340888,0.1102492715596704
1.2182855843071876,1.4781846561691832,0.1568492401939306
2.399606675516919,1.2914778736687935,0.1438369178208343
1.8383224871827144,1.1031233593602567,0.1812579024772233
1.9104937995368976,1.697415576182539,0.140719131437281
2.146664313312588,1.6815012140953414,0.1367446327165009
1.2386611950608069,1.9503930765854527,0.0932334592923515
1.6624027200660456,2.8083370627441235,0.057607036723489
1.8061150274992697,2.585955630503784,0.0792529459095257
1.616303018192493,2.290628664585892,0.0904180432431931
1.0607580660314082,2.2756303364631245,0.0376640134935647
2.857816248881316,1.3284133221772958,0.1253015363919883
1.495158695700326,1.883282653911868,0.120699564698085
1.920763458431236,1.5091690027022333,0.1525391782990083
2.6533780660851303,1.0102299335171443,0.1398407359096912
1.456924773300839,2.24588989423342,0.0834572919080389
1.748675494667265,2.767059344492144,0.065235495260177
2.5903244140446,2.363744090287756,0.1015630469868474
2.436305639521097,2.5609606306189105,0.0942413832485951
2.8281367451665016,2.234360946291739,0.1032456928398258
1.5304701528654654,2.9930507920875837,0.0385122019880392
1.2561636593783785,1.88671899565441,0.1028013825434419
1.5565825457670808,1.8150635858964173,0.1298629716272638
2.5501607253414287,2.0768717690355345,0.1122838469198085
1.628162098497436,2.0871505089445685,0.1077402909454468
2.2694708004463062,1.130085842567725,0.1552896900755871
2.0127025621621044,2.621817274744462,0.08485204485108
2.728167165345096,1.647272082928987,0.1218631213976538
2.444263791734933,2.684731721332734,0.0892867319507078
1.6468448131226214,1.6229941696622403,0.149057670191161
1.8001735609573983,2.192614095583286,0.1055484233877159
1.2577027624596098,2.0313103485208788,0.0860787694678104
2.5769583909756304,1.9437205776418185,0.1164830628434879
2.7215185069069383,1.9219612251589,0.1142353823187085
1.6156783488989046,2.535995292417501,0.0720394559522209
1.026692351311152,1.7511822900695644,0.0907261850122809
1.5953685980226355,1.964853727465526,0.1171311664812592
2.3539313840294938,2.4242154962826,0.0997259524258004
1.6823506122570604,1.1087834461224038,0.1908407756117795
2.379193423178904,2.5016520138967357,0.0964726904409623
1.5219149542187649,2.463061798222558,0.0707564564263315
1.7517952603749167,1.9633681701508392,0.1215234714097295
2.9067901362711126,1.172165427886732,0.1265277584238053
1.227194118957354,1.7782318727058295,0.1137784691034827
1.184715697498515,1.861207106744286,0.0980295103489782
2.818240796349476,1.439580052257157,0.1242432652944647
2.3532939604260323,2.754448618028917,0.0854564043621606
2.671464639233802,1.5426559332141274,0.1264012765924073
2.378609359606112,1.1642893139684718,0.1487852262380427
2.0726398956745955,1.6358800182410418,0.1409657856589921
1.3653523501294258,2.5979170811488688,0.047807634103451
2.868035611381015,1.308215535582243,0.1253561872564639
2.6963943123814205,1.5447459475494347,0.1255617914753707
