n,kb,T,V1,V2,E_n
3.2354236240764997,1.0537805873240664,3.1683576035359837,2.827729549167171,2.705430554061081,-0.477601767096579
4.124397960165301,3.468188923386691,3.576611369172237,1.0898228546110706,3.4073485878431127,58.31887851057633
3.1376383435964588,4.775883781757996,1.121355474357486,1.263284186541561,3.634567412826687,17.75753106449532
3.616788156381975,4.207857029880692,1.245240672861037,3.224991376422836,2.681023015567337,-3.500894978166976
2.3773848106102267,1.1019286126459886,1.887331027541022,2.9607114598282456,2.67314072549191,-0.505181987966898
3.911433308296504,1.5794057069768108,3.3428794974024205,3.357045225593975,1.9889621992557287,-10.80995935403205
3.816927917283437,2.8513495350213813,3.695979915446013,2.481908767098515,1.0659177815515926,-33.99767833573448
4.152316973144023,4.430462189896087,2.5166375366081373,1.1990517746187763,3.76629066099213,52.9905707130143
1.0259404816767574,1.4939008323195888,4.162068796278464,4.566186276924702,4.644290735670613,0.108190044767111
3.1462431550508465,2.6932598990667014,2.499004651030642,1.670704672023391,4.57484983709772,21.33087556267458
4.703650392520436,4.004237982247323,4.919064192174317,1.6032326373409695,3.6044163438904895,75.05788753465019
4.18681460294007,2.7956142412809597,3.290086863305514,1.8666379176454897,1.393994893336591,-11.243448004127623
1.8686580758382811,4.601339807561997,3.0302754758313646,4.116154314453957,2.50562196892283,-12.933395529194438
3.2545284182844902,2.5105619965191246,3.046861131124525,2.733478718466113,1.109161751346674,-22.45453232198817
3.3212735819525645,2.923042368846407,1.4956379179270909,3.140701292773601,1.623916835103565,-9.577457295708337
2.286384364005181,4.513472402641982,4.430337866376901,1.8502205777734089,4.609394614546575,41.73193730047789
1.6827799099985978,1.615267974527721,4.921550502361847,3.732451838833808,1.9729311675494403,-8.528736493277364
2.556668875662457,3.6695560255549498,3.656232577566388,4.8932569169598725,1.7625741876420506,-35.0253730356321
2.635742080758564,1.6141533463329742,3.629910081997617,2.650097461049819,3.647602079224955,4.933765492204242
3.897791617764492,3.1744108735669934,2.5389653530975678,2.105586550233041,3.0267915412269835,11.40082743956592
1.696935528179155,2.8272754333230763,1.1691335270503358,3.469285215900438,2.3725332416202063,-2.1314252717634115
4.67823018290567,1.8000869792676086,4.493891316967732,2.8699413006625063,1.1527331949299806,-34.51967104294624
2.334221282497773,1.4005030151152489,2.7246819152473742,4.422054348389708,2.274763958858177,-5.920875196407363
2.098420738981422,3.877989136804172,4.738157857370075,3.7924383502510848,2.935413573256995,-9.876916727342518
2.33745396859396,3.4219677667483883,2.360912893664081,4.042207917460383,2.1035113077934984,-12.334849546109416
3.6523880759749656,3.3300546356438296,1.7732918172429413,1.5199535247536606,3.125413676408757,15.54803874501042
4.8998985439953735,1.593398861351356,3.790488336774276,4.859271418652169,4.754578400493818,-0.6445762586293525
3.9765824729749615,2.1236297308109866,3.76806143310348,1.7368734225391744,3.9506865028615055,26.15016028142092
