q,a,epsilon,c,Pwr
2.2069624559352765,1.3817864312251604,2.393552782481575,4.763935047395244,0.001906470594027
1.7588483006297473,4.399290952916499,2.684948082099581,3.681004168284084,0.0237184440219977
2.5750413530497984,1.4640967150894442,1.9666826461462696,4.349837601184963,0.0046585784153216
2.4674685203809847,2.0948664944593234,1.0075075902909392,3.126586777693308,0.0460314899291258
1.885654723113519,4.819369695892175,3.91827312087613,4.038620574351801,0.0169750023552673
4.01794497645048,3.048787625283178,4.490139832087898,3.3747787244173644,0.0461280843711702
2.9438866008338107,1.647508055944535,3.4015718546373046,4.811676884848579,0.0032932682536254
4.655217450682428,3.824152331467263,1.1258720651750358,1.41467460802116,5.27461140631137
2.2676070717800965,3.6218082792216126,4.258001276769607,1.1824479103584262,0.5083157366470359
4.652733354193308,4.683741279320456,2.140352835608536,3.249792180117301,0.3429642558264665
4.249274828184651,4.453161565610095,3.1825514166668105,3.068257011465421,0.2066401877088244
4.375775836515899,4.824342946629711,1.1617091598199232,3.614396992863977,0.4310030897755968
2.4831989379968986,3.460075396467042,2.4076787009208087,4.571339077928053,0.0170280215029117
4.061275266985852,2.730234219158201,4.443934980974289,2.66590444845906,0.0774679576419242
1.5328511912848066,2.193899494353852,1.844423215544693,3.784034686861855,0.0060035263091933
3.298580613443578,4.442771602938619,1.528918184400731,2.35054036946588,0.5738173383873814
2.3620003310011515,1.3078301511604329,1.1684509762445132,2.0905456256970827,0.0474211442779015
4.175322712588206,3.23357570512703,1.877917722486596,3.7200407139332223,0.1000288784779094
1.7782583522508577,1.4649399869831523,1.3083369081096667,4.923064422248771,0.0023062273008099
4.8397494157346905,3.436735748588267,4.348703726641782,3.5368318183084138,0.0762840711389805
4.5862020579070375,4.430317067784382,2.598431525440416,3.35852034678251,0.2224946827251603
2.5892444447177185,1.171828601278467,4.839353009555509,1.3167942212655483,0.0442010037455451
2.4668854985102846,3.4775549119878257,3.790041721315371,2.676415935154241,0.0537328705164947
4.061323054546773,1.4796794630848829,3.3389608301582374,2.498606904268261,0.0367844367725218
3.6486287115817344,3.784626639211207,4.541772980518084,4.924485297866427,0.0186507519274844
1.003022605587439,2.762308490307054,3.757479825047464,1.2474383757443546,0.0558355395187103
2.6248169903980694,3.355933939428516,1.520296285287611,1.3317499855330597,1.1463768414250564
4.411546516196213,1.7152697487836883,3.54641410308905,3.007331917764957,0.0314928469813847
2.2292352923548493,3.778541822600448,2.8163227379068423,3.693009460695314,0.0265360014269659
3.803652641831056,1.4397250370880037,1.929086847561616,1.5682263268128764,0.2138364268234389
1.7324522978155423,1.2138829581394663,1.4053172816225006,3.223319327179473,0.0049852930521583
3.784569538502744,1.0353128949662185,1.6413756811357243,3.9654436141888496,0.0079577771154636
1.969623697834047,4.948849824503765,3.382279140967639,2.757125250191745,0.0711041607684495
1.3526981916327303,3.2393658610906546,1.4246942096674111,2.896547079356898,0.0294209887015788
1.023149391373965,1.155848104775405,1.1589971906016978,4.90020328426195,0.0005440688147656
2.593787062024585,4.790066272525339,4.93649038200232,3.294754394651604,0.0463834584451769
2.401342622664641,3.417588928057092,1.8421779046523148,4.052810177408274,0.029137106793294
