m_0,v,c,m
3.2253986704175643,1.4788075460996843,6.757657801483784,3.3055177182398743
4.72625237327278,1.4168128988480817,7.348212737967357,4.8166316339183854
4.867773620868323,1.476382810356205,4.092415861421218,5.219245918105103
1.805644573821655,1.977871479876964,3.3899359778971854,2.223299813542786
2.751034129458616,1.7953331510663848,9.087340348566482,2.8063473769748684
3.265016898063541,1.6597811746094175,9.444046571211809,3.316640336083445
2.484967629445712,1.2942998144847295,9.953398671838675,2.5062474812061226
4.815839742614626,1.6328637972350304,3.821502961497334,5.326561861044657
3.3670534013128166,1.2823559644909543,6.354582417812849,3.4377798403738398
4.597569226124117,1.46889513763813,7.956048170987753,4.677989430950641
1.9539005873898516,1.6482434573749776,5.806982119795508,2.0377070262834507
1.93941002519855,1.0754837332620624,4.645975460201293,1.9935591677574709
3.0101121571085065,1.210738463657117,7.289410605010156,3.052512570048477
4.6074464217518445,1.461665615373696,3.583736030358364,5.04624740556919
2.6351017320220422,1.8539342997517791,7.27482447809099,2.725076733381582
3.772951665296308,1.8061036110475372,5.736639392498704,3.9751018436097096
4.581831476664476,1.685925247166273,8.501511603594192,4.674672454766183
2.4490269480549727,1.971154309347345,7.192863264840674,2.546514074836713
2.0651508687382703,1.9253460677155203,8.756431865608123,2.116958354604321
2.425651074356397,1.841432775788235,3.2875178079050733,2.9280957193400314
3.888424064141622,1.1106832781033444,3.8212725284284894,4.063873588758098
1.087083762171526,1.132306937897101,8.365170584959994,1.097181646550226
3.850041669602756,1.9286646727193029,7.774751905510749,3.974266495325995
1.8236286342630623,1.9108087806197716,7.7087888836453615,1.88237324070512
2.422711774155865,1.9389575895990732,4.493982106194094,2.6855349752360387
2.0997307176038107,1.9577073680677084,4.876210224260209,2.292614803691789
4.740994151213449,1.60876575735215,7.969767287121529,4.840640265535929
4.813118789828909,1.6525060674749903,9.469173684251713,4.888128875895514
2.0496096492296183,1.1180616866609254,8.583406078970562,2.067222247073489
1.1351983451142318,1.011369644127702,8.056812994476676,1.1442495225239693
3.5037611784555067,1.870167577190661,4.918163144065176,3.788338394014432
4.577727393020692,1.9166446479956387,5.058326191811403,4.946573652378568
4.125203631244371,1.3766423777341217,3.857600620800284,4.415968700378911
1.36253907093081,1.564908118607848,7.210609961464424,1.3958077865916327
2.605032693296858,1.6133352544959103,9.899655683003314,2.6403306964463926
1.9755651782611443,1.7913343032172544,3.875502197996756,2.227833129938082
